striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
RR Rossouw,PSL,97,1837,2609,1790,81,607,260,106,32.21,145.75,33.91,20.45
KA Pollard,ODI,107,2877,2608,2802,102,1498,165,129,25.57,93.08,53.46,10.49
JI Rodrigues,T20I,109,2272,2597,2220,92,771,296,22,28.23,116.98,34.73,14.32
AE Jones,ODI,85,3043,2593,2997,71,1564,298,20,36.52,86.52,52.19,10.61
D Ramdin,Test,64,5306,2591,5296,100,3993,335,6,25.91,48.92,75.4,6.44
M Kapp,ODI,96,2984,2590,2922,72,1406,256,28,35.97,88.64,48.12,9.72
MJ Guptill,Test,47,5560,2586,5548,88,4297,326,24,29.39,46.61,77.45,6.31
SC Ganguly,Test,35,4420,2577,4415,55,3077,311,16,46.85,58.37,69.69,7.41
JL Langer,Test,30,4333,2558,4313,50,3037,326,12,51.16,59.31,70.42,7.84
RR Sarwan,Test,33,4752,2558,4745,61,3439,325,10,41.93,53.91,72.48,7.06
Ahmed Shehzad,ODI,80,3623,2555,3540,80,2123,262,18,31.94,72.18,59.97,7.91
Shan Masood,Test,44,4891,2550,4884,83,3502,244,25,30.72,52.21,71.7,5.51
AK Markram,ODI,76,2646,2539,2596,69,1276,263,57,36.8,97.8,49.15,12.33
MM Lanning,T20I,89,2278,2538,2206,62,911,305,37,40.94,115.05,41.3,15.5
KS Williamson,T20I,88,2072,2537,2041,78,714,242,59,32.53,124.3,34.98,14.75
DP Conway,Test,32,4708,2533,4701,56,3431,321,15,45.23,53.88,72.98,7.15
HE van der Dussen,ODI,63,2965,2529,2912,53,1402,197,47,47.72,86.85,48.15,8.38
L Lee,ODI,76,3044,2516,2972,68,1811,320,48,37.0,84.66,60.94,12.38
YBK Jaiswal,Test,28,3812,2511,3803,51,2567,312,45,49.24,66.03,67.5,9.39
HG Munsey,T20I,81,1826,2508,1735,77,703,264,115,32.57,144.55,40.52,21.84
P Nissanka,T20I,83,2035,2506,1966,81,745,250,73,30.94,127.47,37.89,16.43
SPD Smith,IPL,93,1999,2495,1945,78,602,226,60,31.99,128.28,30.95,14.7
SE Marsh,IPL,69,1913,2489,1871,65,693,269,78,38.29,133.03,37.04,18.55
RL Chase,Test,55,5409,2484,5396,101,4081,258,22,24.59,46.03,75.63,5.19
MP Vaughan,Test,38,4982,2483,4962,66,3756,338,6,37.62,50.04,75.7,6.93
Syed Aziz,T20I,105,1945,2481,1836,94,773,212,129,26.39,135.13,42.1,18.57
MA Starc,Test,100,4194,2478,4177,120,2956,256,49,20.65,59.32,70.77,7.3
YBK Jaiswal,IPL,76,1663,2478,1613,70,627,295,106,35.4,153.63,38.87,24.86
RR Hendricks,T20I,88,1962,2475,1913,88,697,265,69,28.12,129.38,36.43,17.46
Liton Das,T20I,109,1976,2467,1913,105,719,242,78,23.5,128.96,37.58,16.73
SC Ganguly,ODI,74,3498,2452,3405,68,2008,231,44,36.06,72.01,58.97,8.08
EJG Morgan,T20I,104,1838,2443,1787,81,636,185,120,30.16,136.71,35.59,17.07
BKG Mendis,T20I,99,1949,2438,1887,89,708,215,92,27.39,129.2,37.52,16.27
N Pooran,IPL,95,1563,2438,1482,77,517,164,179,31.66,164.51,34.89,23.14
Mohammad Hafeez,T20I,105,2039,2437,1992,92,820,246,74,26.49,122.34,41.16,16.06
Sidra Ameen,ODI,70,3711,2436,3578,68,2143,253,2,35.82,68.08,59.89,7.13
JH Kallis,IPL,95,2291,2427,2222,89,909,255,44,27.27,109.23,40.91,13.46
HG Munsey,ODI,63,2685,2422,2621,57,1476,250,79,42.49,92.41,56.31,12.55
Mohammad Rizwan,Test,40,4461,2399,4454,62,3131,243,18,38.69,53.86,70.3,5.86
Liton Das,ODI,90,2855,2392,2801,85,1524,249,44,28.14,85.4,54.41,10.46
Shoaib Malik,T20I,108,1940,2392,1895,77,616,194,68,31.06,126.23,32.51,13.83
Fakhar Zaman,T20I,105,1839,2387,1787,100,671,224,95,23.87,133.58,37.55,17.85
