striker,format,matches,innings,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
M Rawat,IPL,11,70,55,69,5,33,4,1,11.0,79.71,47.83,7.25
Rameez Khan,T20I,8,52,55,51,6,26,4,3,9.17,107.84,50.98,13.73
HL Colvin,Test,3,242,55,241,1,207,4,0,55.0,22.82,85.89,1.66
Yasir Mehmood,T20I,3,54,55,52,2,22,2,3,27.5,105.77,42.31,9.62
S Matsikenyeri,Test,3,169,55,169,6,146,8,0,9.17,32.54,86.39,4.73
KM Venkataswamy,T20I,1,46,55,41,2,9,3,2,27.5,134.15,21.95,12.2
Mirab Razwan,T20I,14,138,55,114,15,74,3,0,3.67,48.25,64.91,2.63
KL Cross,Test,6,132,55,131,7,101,5,0,7.86,41.98,77.1,3.82
B Mavuta,T20I,7,43,55,42,3,12,3,2,18.33,130.95,28.57,11.9
T Gedarage,T20I,7,156,55,132,7,90,3,0,7.86,41.67,68.18,2.27
L Maphane,T20I,6,58,55,55,6,24,2,2,9.17,100.0,43.64,7.27
RA Mair,T20I,14,61,55,59,6,23,4,0,9.17,93.22,38.98,6.78
S Kijiana,T20I,6,57,55,51,6,29,9,1,9.17,107.84,56.86,19.61
AN Toube,T20I,15,98,55,93,15,62,4,2,3.67,59.14,66.67,6.45
JKD Andreano,T20I,15,137,55,124,14,91,4,0,3.93,44.35,73.39,3.23
SK Springer,T20I,3,37,55,36,2,9,4,3,27.5,152.78,25.0,19.44
M Vumiliya,T20I,11,60,55,56,5,26,5,0,11.0,98.21,46.43,8.93
A Kamboj,IPL,9,47,55,44,2,12,4,2,27.5,125.0,27.27,13.64
FY Fazal,ODI,1,65,55,61,0,36,7,1,55.0,90.16,59.02,13.11
RR Watson,T20I,5,48,55,46,5,19,8,0,11.0,119.57,41.3,17.39
Bismillah Khan,PSL,3,37,55,35,3,15,10,1,18.33,157.14,42.86,31.43
TT Maposa,T20I,10,56,55,55,4,22,3,1,13.75,100.0,40.0,7.27
TS Sekhukhune,ODI,11,124,55,123,6,87,4,0,9.17,44.72,70.73,3.25
J Figy John,ODI,2,75,55,73,1,44,4,0,55.0,75.34,60.27,5.48
Khaled Ahmed,Test,16,178,55,178,19,156,6,3,2.89,30.9,87.64,5.06
GB Hogg,T20I,4,42,55,39,4,14,3,3,13.75,141.03,35.9,15.38
B Balala,T20I,16,106,55,99,8,55,2,0,6.88,55.56,55.56,2.02
K Srandeva,T20I,12,204,55,164,11,115,1,0,5.0,33.54,70.12,0.61
K Kato-Stafford,T20I,8,46,55,45,4,21,7,1,13.75,122.22,46.67,17.78
S Kalyan,ODI,4,128,55,122,4,89,1,1,13.75,45.08,72.95,1.64
MJ Ross,T20I,4,41,55,40,2,10,2,3,27.5,137.5,25.0,12.5
Irfan Ahmed,ODI,3,81,55,79,3,57,9,1,18.33,69.62,72.15,12.66
TA Boult,T20I,12,58,55,57,9,24,3,2,6.11,96.49,42.11,8.77
Nadeem Ahmed,ODI,11,132,55,129,9,95,5,0,6.11,42.64,73.64,3.88
Nilansh Keswani,T20I,7,51,55,51,2,19,5,0,27.5,107.84,37.25,9.8
RK Singh,ODI,2,43,55,41,2,16,5,3,27.5,134.15,39.02,19.51
Usman Shinwari,PSL,12,54,54,53,7,28,1,5,7.71,101.89,52.83,11.32
GP Tom,ODI,8,100,54,99,7,67,4,0,7.71,54.55,67.68,4.04
DE Bollinger,Test,9,160,54,159,6,133,7,0,9.0,33.96,83.65,4.4
SP Khakurel,T20I,6,84,54,79,7,44,4,0,7.71,68.35,55.7,5.06
P Jayeshbhai Patel,T20I,8,96,54,92,8,66,6,1,6.75,58.7,71.74,7.61
O Omonkhobio,T20I,6,45,54,44,4,19,5,2,13.5,122.73,43.18,15.91
Sajad Ahmadzai,T20I,8,69,54,66,5,35,3,2,10.8,81.82,53.03,7.58
J Thomas,T20I,6,87,54,86,5,46,2,0,10.8,62.79,53.49,2.33
CB Roposo,T20I,6,67,54,67,4,38,7,0,13.5,80.6,56.72,10.45
KM Chingaipe,T20I,12,113,54,100,11,65,4,0,4.91,54.0,65.0,4.0
DES Maxwell,ODI,3,45,54,45,1,17,2,3,54.0,120.0,37.78,11.11
H McAleer,T20I,5,78,54,75,4,36,3,0,13.5,72.0,48.0,4.0
N Pokana,ODI,11,124,54,122,5,85,3,1,10.8,44.26,69.67,3.28
Faisal Javed,T20I,4,27,54,26,4,11,8,3,13.5,207.69,42.31,42.31
K Brock-Nielsen,T20I,10,139,54,128,10,86,4,0,5.4,42.19,67.19,3.12
Muhammad Burhan,T20I,9,50,54,46,7,18,5,1,7.71,117.39,39.13,13.04
Kabir Ali,ODI,8,58,54,57,4,23,3,1,13.5,94.74,40.35,7.02
M Mani,ODI,2,60,54,56,1,26,5,0,54.0,96.43,46.43,8.93
Mohammed Qasim,T20I,5,66,54,65,4,33,3,1,13.5,83.08,50.77,6.15
Vichanath Singh,T20I,9,98,54,95,7,54,1,0,7.71,56.84,56.84,1.05
IR Bell,PSL,1,47,54,46,1,14,6,0,54.0,117.39,30.43,13.04
Imran Haider,ODI,12,127,54,123,7,84,2,0,7.71,43.9,68.29,1.63
V Stolle,T20I,7,96,54,92,5,48,2,0,10.8,58.7,52.17,2.17
Mengting Liu,T20I,16,166,54,156,14,111,3,0,3.86,34.62,71.15,1.92
SMA Priyanjan,T20I,3,63,54,62,1,24,1,2,54.0,87.1,38.71,4.84
Irdina Beh Nabil,T20I,9,71,54,67,4,35,5,0,13.5,80.6,52.24,7.46
LAGL Kirby,T20I,7,72,54,67,6,40,5,2,9.0,80.6,59.7,10.45
P Abanda,T20I,9,95,54,88,9,64,7,1,6.0,61.36,72.73,9.09
A Nao,ODI,15,71,54,68,7,36,4,1,7.71,79.41,52.94,7.35
A Shukla,T20I,21,97,54,90,14,60,3,2,3.86,60.0,66.67,5.56
Ismaeel Zia,T20I,6,72,54,68,6,41,6,0,9.0,79.41,60.29,8.82
Ariful Haque,T20I,7,62,54,58,4,24,4,0,13.5,93.1,41.38,6.9
Saghir Khan,T20I,5,36,54,34,3,15,4,4,18.0,158.82,44.12,23.53
M Robinson,T20I,3,99,54,87,0,47,3,0,54.0,62.07,54.02,3.45
Khawaja Nafay,T20I,4,35,54,35,4,10,3,3,13.5,154.29,28.57,17.14
Vathana Sreemurugavel,T20I,9,140,54,126,7,86,4,0,7.71,42.86,68.25,3.17
Zhang Chan,T20I,9,84,53,79,7,47,3,0,7.57,67.09,59.49,3.8
S Kushretha,T20I,6,75,53,71,5,36,3,0,10.6,74.65,50.7,4.23
LG Moras,T20I,5,63,53,60,5,36,5,2,10.6,88.33,60.0,11.67
Sajid Patel,T20I,4,63,53,59,4,34,7,0,13.25,89.83,57.63,11.86
J Horrocks,T20I,9,57,53,55,5,22,1,1,10.6,96.36,40.0,3.64
Anik Ahmed,T20I,4,61,53,58,2,20,2,0,26.5,91.38,34.48,3.45
BM Tickner,ODI,9,71,53,69,4,37,5,0,13.25,76.81,53.62,7.25
CJ Connor,Test,2,146,53,146,4,125,9,0,13.25,36.3,85.62,6.16
CAK Walton,ODI,8,88,53,86,8,57,7,0,6.62,61.63,66.28,8.14
WB Rankin,T20I,12,66,53,63,4,33,3,2,13.25,84.13,52.38,7.94
DL Chahar,T20I,4,28,53,28,2,9,4,4,26.5,189.29,32.14,28.57
LCN Smith,ODI,6,57,53,56,2,24,5,0,26.5,94.64,42.86,8.93
PVD Chameera,IPL,11,49,53,45,3,19,3,3,17.67,117.78,42.22,13.33
DDP D'Silva,ODI,5,123,53,119,4,91,8,0,13.25,44.54,76.47,6.72
P Maruariki,T20I,4,55,53,54,4,29,7,1,13.25,98.15,53.7,14.81
C Carter,T20I,4,59,53,59,3,23,3,0,17.67,89.83,38.98,5.08
Riyaa Bhasin,T20I,15,122,53,110,13,73,1,0,4.08,48.18,66.36,0.91
Mohammad Hasnain,ODI,7,34,53,34,3,15,9,1,17.67,155.88,44.12,29.41
Deng Jinqi,T20I,4,101,53,95,5,59,2,0,10.6,55.79,62.11,2.11
Usman Limbada,T20I,3,43,53,41,2,12,6,0,26.5,129.27,29.27,14.63
H Doriga,ODI,2,75,53,65,2,40,7,1,26.5,81.54,61.54,12.31
Aamer Ikram,T20I,3,72,53,67,3,45,3,4,17.67,79.1,67.16,10.45
Adama Kamara,T20I,7,147,53,124,6,85,3,0,8.83,42.74,68.55,2.42
Poonam Yadav,ODI,16,140,53,136,11,94,2,0,4.82,38.97,69.12,1.47
PM Liyanagamage,ODI,9,122,53,120,7,89,6,0,7.57,44.17,74.17,5.0
J Suleman,T20I,4,64,53,62,4,31,2,3,13.25,85.48,50.0,8.06
Abdul Naser Baluch,T20I,9,60,53,54,10,29,1,4,5.3,98.15,53.7,9.26
SS Connell,T20I,17,71,53,70,6,36,2,2,8.83,75.71,51.43,5.71
AR Berenger,ODI,6,115,53,111,6,84,7,0,8.83,47.75,75.68,6.31
S Yeshi,T20I,17,81,53,78,12,53,4,2,4.42,67.95,67.95,7.69
E Marx,ODI,4,80,53,80,1,45,5,0,53.0,66.25,56.25,6.25
DJ Willey,IPL,5,64,53,62,3,34,7,0,17.67,85.48,54.84,11.29
V Baskaran,T20I,15,88,53,86,11,42,1,0,4.82,61.63,48.84,1.16
TM Macalou,T20I,9,136,53,129,7,99,6,0,7.57,41.09,76.74,4.65
TU Deshpande,IPL,9,35,53,33,3,11,2,4,17.67,160.61,33.33,18.18
Sobu George,T20I,2,42,53,41,2,14,4,2,26.5,129.27,34.15,14.63
R Dhar,ODI,2,53,53,49,2,21,6,0,26.5,108.16,42.86,12.24
A Chopra,IPL,6,75,53,71,5,41,7,0,10.6,74.65,57.75,9.86
S Rana,T20I,8,57,53,54,4,21,4,0,13.25,98.15,38.89,7.41
BCJ Cutting,ODI,2,67,53,67,2,35,4,1,26.5,79.1,52.24,7.46
T Lafai,T20I,6,87,53,79,4,48,7,0,13.25,67.09,60.76,8.86
Waqar Younis,Test,2,71,52,71,4,48,5,2,13.0,73.24,67.61,9.86
RS Vandort,T20I,9,77,52,73,6,35,2,0,8.67,71.23,47.95,2.74
BJ Clark,Test,2,121,52,120,5,101,7,0,10.4,43.33,84.17,5.83
AK Perera,ODI,4,83,52,83,4,47,3,0,13.0,62.65,56.63,3.61
MM Patel,Test,9,131,52,130,6,107,7,1,8.67,40.0,82.31,6.15
MK Villiers,T20I,6,31,52,31,1,6,8,0,52.0,167.74,19.35,25.81
Wei Haiting,T20I,10,174,52,155,10,112,1,0,5.2,33.55,72.26,0.65
Akif Raja,T20I,5,45,52,44,2,17,5,1,26.0,118.18,38.64,13.64
RP Singh,IPL,28,78,52,76,15,39,2,1,3.47,68.42,51.32,3.95
Waqas Khan,ODI,4,106,52,100,2,61,3,0,26.0,52.0,61.0,3.0
E Kuncova,T20I,13,138,52,121,10,79,2,0,5.2,42.98,65.29,1.65
Shoaib Malik,IPL,5,49,52,47,4,14,5,0,13.0,110.64,29.79,10.64
M Shehani,T20I,10,82,52,79,11,49,5,0,4.73,65.82,62.03,6.33
Faizan Asif,T20I,5,49,52,45,5,23,5,2,10.4,115.56,51.11,15.56
BV Vitori,Test,4,84,52,84,5,61,7,1,10.4,61.9,72.62,9.52
Jing Yang,T20I,10,132,52,115,8,86,7,0,6.5,45.22,74.78,6.09
S Mahmood,Test,1,125,52,124,1,99,4,1,52.0,41.94,79.84,4.03
K Thomson,ODI,2,69,52,66,2,30,3,0,26.0,78.79,45.45,4.55
JNT Vare,T20I,5,60,52,57,5,24,3,0,10.4,91.23,42.11,5.26
KE Ebrahim,ODI,4,95,52,93,3,55,3,0,17.33,55.91,59.14,3.23
OE Newey,T20I,3,59,52,58,3,23,2,0,17.33,89.66,39.66,3.45
Abdur Rauf,Test,3,168,52,168,6,138,4,0,8.67,30.95,82.14,2.38
S Sankar,T20I,5,61,52,59,3,22,4,0,17.33,88.14,37.29,6.78
Syeda Aroob Shah,ODI,4,61,52,60,1,25,4,0,52.0,86.67,41.67,6.67
Muhammad Zafar Khan,T20I,4,42,52,39,2,25,12,0,26.0,133.33,64.1,30.77
HS Baidwan,T20I,5,43,52,43,4,13,4,1,13.0,120.93,30.23,11.63
Hilva Noor,T20I,3,94,52,73,2,31,0,0,26.0,71.23,42.47,0.0
JW Hastings,Test,1,89,52,88,2,65,5,2,26.0,59.09,73.86,7.95
Saniyah Zia,T20I,7,76,52,72,5,37,3,0,10.4,72.22,51.39,4.17
Mir Hamza,Test,7,183,51,182,8,158,3,2,6.38,28.02,86.81,2.75
L Wood,PSL,10,42,51,41,6,19,2,4,8.5,124.39,46.34,14.63
EJ Tice,T20I,9,84,51,82,7,46,4,0,7.29,62.2,56.1,4.88
Abubacarr Kuyateh,T20I,8,80,51,72,8,52,7,2,6.38,70.83,72.22,12.5
OF Smith,IPL,6,50,51,44,3,23,1,5,17.0,115.91,52.27,13.64
CA Pujara,ODI,5,136,51,130,5,96,4,0,10.2,39.23,73.85,3.08
R Cenik,T20I,5,78,51,68,4,40,6,0,12.75,75.0,58.82,8.82
Shenjian Zheng,T20I,4,40,51,40,4,23,4,4,12.75,127.5,57.5,20.0
XJ Doherty,Test,4,159,51,159,3,140,8,0,17.0,32.08,88.05,5.03
Sohail Ahmad,T20I,6,56,51,52,6,22,1,3,8.5,98.08,42.31,7.69
IS Billcliff,T20I,2,39,51,39,1,11,3,2,51.0,130.77,28.21,12.82
DC Thomas,T20I,7,54,51,54,6,28,4,2,8.5,94.44,51.85,11.11
Mohammad Imran,PSL,7,27,51,27,4,8,5,3,12.75,188.89,29.63,29.63
KB Arun Karthik,IPL,8,53,51,51,5,22,4,1,10.2,100.0,43.14,9.8
K Reyneke,ODI,2,41,51,38,0,10,4,2,51.0,134.21,26.32,15.79
R Rampaul,IPL,7,52,51,50,5,24,3,2,10.2,102.0,48.0,10.0
Raqibul Hasan,T20I,5,63,51,62,5,27,3,1,10.2,82.26,43.55,6.45
A Khaka,T20I,18,86,51,85,6,44,3,0,8.5,60.0,51.76,3.53
IR James,ODI,2,64,51,62,2,41,6,1,25.5,82.26,66.13,11.29
A Kaul,T20I,8,64,51,58,7,29,7,0,7.29,87.93,50.0,12.07
Shivam Mavi,IPL,11,58,51,56,9,30,4,2,5.67,91.07,53.57,10.71
RN Bhatia,ODI,9,114,51,111,7,76,4,0,7.29,45.95,68.47,3.6
N Acawei,T20I,5,71,51,68,5,41,4,2,10.2,75.0,60.29,8.82
Nasir Jamshed,Test,2,108,51,107,4,85,8,0,12.75,47.66,79.44,7.48
RA Reifer,ODI,5,103,51,101,6,56,1,0,8.5,50.5,55.45,0.99
A Mithun,ODI,3,57,51,55,3,33,2,4,17.0,92.73,60.0,10.91
Swapnil Singh,IPL,9,46,51,45,5,20,3,3,10.2,113.33,44.44,13.33
Kamrul Islam Rabbi,Test,7,281,51,281,9,255,5,2,5.67,18.15,90.75,2.49
SC Selman,T20I,15,80,51,79,4,43,3,0,12.75,64.56,54.43,3.8
Hilal Ahmad,T20I,5,83,51,74,3,38,2,0,17.0,68.92,51.35,2.7
SD Udal,Test,2,87,51,87,2,58,5,1,25.5,58.62,66.67,6.9
GY Tomar,T20I,2,46,51,45,2,24,4,3,25.5,113.33,53.33,15.56
Kaleem Sana,T20I,9,54,51,54,4,28,2,3,12.75,94.44,51.85,9.26
AA Paradkar,ODI,5,85,51,80,4,47,3,1,12.75,63.75,58.75,5.0
ZN Shabalala,T20I,10,192,51,171,12,131,1,0,4.25,29.82,76.61,0.58
Khuzaima Tanveer,ODI,3,39,51,39,2,20,2,5,25.5,130.77,51.28,17.95
Sikder Billah,T20I,5,39,51,39,4,12,5,1,12.75,130.77,30.77,15.38
SN Pathirana,T20I,10,85,51,81,6,41,0,1,8.5,62.96,50.62,1.23
Yair Nagavkar,T20I,6,65,51,63,5,30,3,0,10.2,80.95,47.62,4.76
Chen Yue,T20I,5,90,50,87,4,64,5,0,12.5,57.47,73.56,5.75
RTM Mendis,ODI,4,50,50,50,2,19,3,1,25.0,100.0,38.0,8.0
F Campbell,T20I,7,76,50,71,7,42,4,1,7.14,70.42,59.15,7.04
VR Vanitha,ODI,2,64,50,64,4,39,8,0,12.5,78.12,60.94,12.5
RV Gomez,IPL,9,53,50,51,7,25,5,1,7.14,98.04,49.02,11.76
A Alexander,T20I,8,35,50,33,5,12,2,4,10.0,151.52,36.36,18.18
D Kataina,T20I,8,99,50,91,6,55,4,0,8.33,54.95,60.44,4.4
Aryan Lakra,T20I,8,58,50,58,7,31,3,2,7.14,86.21,53.45,8.62
WA Agar,ODI,2,43,50,42,2,19,4,2,25.0,119.05,45.24,14.29
K Hardat,T20I,7,62,50,57,5,32,7,0,10.0,87.72,56.14,12.28
K Klein,T20I,11,64,50,64,7,26,2,0,7.14,78.12,40.62,3.12
Qateel Zabiullah,T20I,3,27,50,27,3,9,2,5,16.67,185.19,33.33,25.93
GJ Rennie,ODI,4,128,50,125,4,90,4,0,12.5,40.0,72.0,3.2
SA Abbott,T20I,13,51,50,49,7,22,4,1,7.14,102.04,44.9,10.2
EB Knowles,T20I,4,61,50,55,3,29,6,0,16.67,90.91,52.73,10.91
DE Bollinger,ODI,7,54,50,54,4,24,5,0,12.5,92.59,44.44,9.26
Faisal Safi,T20I,3,50,50,45,3,26,10,0,16.67,111.11,57.78,22.22
Mohammad Yousuf,T20I,3,44,50,43,3,20,5,1,16.67,116.28,46.51,13.95
I Ntirenganya,T20I,19,72,50,69,7,36,5,0,7.14,72.46,52.17,7.25
J Theron,ODI,12,104,50,102,10,71,5,0,5.0,49.02,69.61,4.9
D Tucker,T20I,10,73,50,68,5,30,3,0,10.0,73.53,44.12,4.41
Sonam,T20I,17,151,50,145,14,107,3,0,3.57,34.48,73.79,2.07
VR Aaron,IPL,12,73,50,72,4,42,2,2,12.5,69.44,58.33,5.56
S Haggo,T20I,8,85,50,83,5,44,1,0,10.0,60.24,53.01,1.2
EL Watson,ODI,8,125,50,118,6,79,2,0,8.33,42.37,66.95,1.69
JD Baker,T20I,5,49,50,48,4,21,2,3,12.5,104.17,43.75,10.42
Mohammad Bhaidu,T20I,6,82,50,77,7,47,4,1,7.14,64.94,61.04,6.49
Iqbal Hussain,T20I,6,43,50,42,4,13,3,2,12.5,119.05,30.95,11.9
R Siriwardena,T20I,9,77,50,72,6,41,5,0,8.33,69.44,56.94,6.94
MJ Bulow,ODI,1,74,50,72,1,50,9,0,50.0,69.44,69.44,12.5
OF Smith,PSL,6,42,50,40,3,21,5,3,16.67,125.0,52.5,20.0
Hasan Mahmud,T20I,9,52,50,51,1,24,0,4,50.0,98.04,47.06,7.84
CT Tremlett,ODI,11,91,50,89,8,59,2,2,6.25,56.18,66.29,4.49
Mohammad Nawaz (3),Test,3,157,50,157,4,127,4,0,12.5,31.85,80.89,2.55
J Reb,T20I,5,67,50,65,5,38,3,2,10.0,76.92,58.46,7.69
J King,T20I,7,159,49,145,7,111,3,0,7.0,33.79,76.55,2.07
KM Leng,Test,1,191,49,191,2,159,2,0,24.5,25.65,83.25,1.05
Kuldeep Gurjar,T20I,8,84,49,79,8,44,0,3,6.12,62.03,55.7,3.8
Emma Patel,T20I,8,73,49,64,3,34,4,0,16.33,76.56,53.12,6.25
A Nortje,IPL,14,52,49,50,6,24,6,0,8.17,98.0,48.0,12.0
S Pandey,Test,2,202,49,201,3,170,5,0,16.33,24.38,84.58,2.49
SS Tiwary,ODI,2,57,49,56,0,28,5,1,49.0,87.5,50.0,10.71
Pooja Ganesh,ODI,3,93,49,89,3,54,2,0,16.33,55.06,60.67,2.25
WTS Porterfield,Test,2,199,49,199,4,175,5,0,12.25,24.62,87.94,2.51
A Khan,T20I,7,57,49,54,7,23,2,1,7.0,90.74,42.59,5.56
PR Veer,IPL,2,36,49,36,1,13,7,1,49.0,136.11,36.11,22.22
M Bryant,PSL,5,30,49,30,3,10,7,1,16.33,163.33,33.33,26.67
AS Yadav,IPL,6,40,49,39,7,17,5,2,7.0,125.64,43.59,17.95
ZS Ansari,Test,3,136,49,136,5,104,5,0,9.8,36.03,76.47,3.68
KO Meth,ODI,6,93,49,93,6,60,5,0,8.17,52.69,64.52,5.38
Tuba Hassan,ODI,4,59,49,58,3,34,6,0,16.33,84.48,58.62,10.34
P Magafas,T20I,3,55,49,50,3,22,5,0,16.33,98.0,44.0,10.0
Jubaid Ahamed,T20I,7,45,49,45,7,16,2,2,7.0,108.89,35.56,8.89
RK Willis,T20I,12,76,49,72,10,44,4,0,4.9,68.06,61.11,5.56
Imran Butt,Test,2,93,49,93,4,67,6,0,12.25,52.69,72.04,6.45
AG Paunikar,IPL,5,61,49,58,5,36,9,0,9.8,84.48,62.07,15.52
CU Jayasinghe,T20I,3,49,49,49,2,20,3,1,24.5,100.0,40.82,8.16
Mohammad Shahzad (2),ODI,3,68,49,67,2,47,5,2,24.5,73.13,70.15,10.45
Mushfiqur Rahim,PSL,3,39,49,39,3,11,4,1,16.33,125.64,28.21,12.82
Syed Faizan Tahir,T20I,8,75,49,74,7,41,2,1,7.0,66.22,55.41,4.05
SB Bangar,IPL,7,58,49,58,6,28,1,3,8.17,84.48,48.28,6.9
Naseem Khan,T20I,5,60,49,56,5,35,5,2,9.8,87.5,62.5,12.5
ZGF Foulkes,ODI,5,59,49,55,2,28,6,0,24.5,89.09,50.91,10.91
K Senamontree,T20I,14,83,49,79,10,46,1,1,4.9,62.03,58.23,2.53
Aphsal Ashraf,T20I,2,25,49,25,1,6,1,5,49.0,196.0,24.0,24.0
LR Doolan,ODI,4,59,49,59,4,37,7,0,12.25,83.05,62.71,11.86
HG Kuhn,T20I,6,42,49,42,4,17,3,2,12.25,116.67,40.48,11.9
JN Mohammed,T20I,6,63,49,62,5,31,6,0,9.8,79.03,50.0,9.68
Nayab Alizai,T20I,4,103,49,81,6,44,2,0,8.17,60.49,54.32,2.47
CH van Koolwijk,T20I,11,71,49,67,10,31,2,0,4.9,73.13,46.27,2.99
I Master,T20I,6,53,49,51,4,25,3,0,12.25,96.08,49.02,5.88
P Chilongia,T20I,7,103,49,85,2,45,1,0,24.5,57.65,52.94,1.18
LHD Dilhara,ODI,4,60,49,60,4,36,3,3,12.25,81.67,60.0,10.0
Imran Tahir,PSL,10,54,48,53,8,27,5,1,6.0,90.57,50.94,11.32
Zulqarnain Haider,ODI,4,70,48,68,3,35,3,0,16.0,70.59,51.47,4.41
C Crowe,T20I,5,85,48,82,3,48,5,0,16.0,58.54,58.54,6.1
DAM Louis,T20I,7,51,48,47,5,21,3,2,9.6,102.13,44.68,10.64
M Markande,IPL,10,44,48,42,3,18,5,1,16.0,114.29,42.86,14.29
CL Fitzpatrick,Test,2,184,48,184,4,163,6,0,12.0,26.09,88.59,3.26
SS Grimmond,ODI,6,60,48,57,5,33,3,2,9.6,84.21,57.89,8.77
TB Robinson,ODI,3,49,48,47,3,23,7,0,16.0,102.13,48.94,14.89
K Pandya,T20I,5,88,48,81,4,42,0,0,12.0,59.26,51.85,0.0
Asif Afridi,PSL,10,52,48,52,5,29,5,2,9.6,92.31,55.77,13.46
Mohammad Irfan,ODI,30,152,48,149,13,125,5,2,3.69,32.21,83.89,4.7
Sojib Miah,T20I,3,28,48,27,3,12,5,3,16.0,177.78,44.44,29.63
M Zhu,T20I,12,97,48,90,12,57,3,0,4.0,53.33,63.33,3.33
S Matsikenyeri,T20I,5,54,48,53,5,28,2,3,9.6,90.57,52.83,9.43
Arafat Sunny,ODI,10,94,48,91,4,61,5,0,12.0,52.75,67.03,5.49
PM Inglis,ODI,3,31,48,31,1,6,6,0,48.0,154.84,19.35,19.35
S Chilemanya,T20I,6,67,48,63,6,40,1,1,8.0,76.19,63.49,3.17
Ahmed Wardak,T20I,5,50,48,49,3,24,5,1,16.0,97.96,48.98,12.24
M Batnasan,T20I,8,81,48,73,12,38,4,0,4.0,65.75,52.05,5.48
Irfan Khan,ODI,6,75,48,74,6,43,3,1,8.0,64.86,58.11,5.41
GC Viljoen,PSL,4,34,48,33,2,13,4,3,24.0,145.45,39.39,21.21
JC Tongue,Test,7,138,48,138,9,113,4,0,5.33,34.78,81.88,2.9
RJ Harris,ODI,9,48,48,48,6,20,3,1,8.0,100.0,41.67,8.33
A Modi,T20I,5,77,48,76,4,34,1,0,12.0,63.16,44.74,1.32
Tasqeen Qadeer,ODI,3,144,48,132,3,99,2,0,16.0,36.36,75.0,1.52
FA Klokker,T20I,6,46,48,45,2,16,4,0,24.0,106.67,35.56,8.89
L Shafeeg,T20I,8,57,48,56,3,24,3,1,16.0,85.71,42.86,7.14
S Shrivastava,T20I,7,60,48,55,2,26,4,1,24.0,87.27,47.27,9.09
O Kamchomphu,ODI,12,93,48,86,9,53,2,0,5.33,55.81,61.63,2.33
B Muzarabani,T20I,22,71,48,70,13,46,6,1,3.69,68.57,65.71,10.0
CD Mboe,T20I,8,146,48,134,9,94,2,0,5.33,35.82,70.15,1.49
Kuldeep Yadav,T20I,9,74,48,71,7,35,2,0,6.86,67.61,49.3,2.82
Nashra Sandhu,T20I,20,101,48,94,9,56,2,0,5.33,51.06,59.57,2.13
FJ Klaassen,T20I,15,61,48,59,11,23,2,0,4.36,81.36,38.98,3.39
FJ Klaassen,ODI,12,78,48,73,5,45,1,2,9.6,65.75,61.64,4.11
FL Reifer,Test,2,129,48,129,4,93,4,0,12.0,37.21,72.09,3.1
T Kohler-Cadmore,IPL,3,54,48,54,3,33,7,1,16.0,88.89,61.11,14.81
SI Galagedara,T20I,5,88,48,83,6,59,7,0,8.0,57.83,71.08,8.43
Abdul Majid Abbasi,T20I,20,91,47,88,8,51,1,1,5.88,53.41,57.95,2.27
D Koralalage,T20I,8,110,47,89,3,48,0,0,15.67,52.81,53.93,0.0
NT Gruny,T20I,6,93,47,88,5,58,4,0,9.4,53.41,65.91,4.55
Kabir Berlia,T20I,5,32,47,32,3,11,5,2,15.67,146.88,34.38,21.88
SB Martinez,T20I,4,96,47,81,4,39,4,0,11.75,58.02,48.15,4.94
Yashpal Singh,IPL,4,67,47,66,4,37,5,0,11.75,71.21,56.06,7.58
EJ Villani,Test,2,117,47,117,3,99,9,0,15.67,40.17,84.62,7.69
S MacMahon,T20I,13,59,47,58,10,27,4,0,4.7,81.03,46.55,6.9
CA Keita,T20I,9,86,47,83,9,63,5,2,5.22,56.63,75.9,8.43
Seetharam Guruvayoorappan,T20I,4,74,47,69,3,38,4,0,15.67,68.12,55.07,5.8
MH Ushanga,T20I,17,81,47,74,12,46,4,0,3.92,63.51,62.16,5.41
WD Parnell,PSL,3,31,47,31,3,10,7,1,15.67,151.61,32.26,25.81
Mohammad Ayub,Test,1,168,47,168,2,135,4,0,23.5,27.98,80.36,2.38
BTJ Wheal,ODI,6,65,47,62,4,36,6,0,11.75,75.81,58.06,9.68
EC Joyce,Test,1,102,47,102,2,80,6,0,23.5,46.08,78.43,5.88
L Dalbina,T20I,6,132,47,108,5,60,0,0,9.4,43.52,55.56,0.0
D Uwimana,T20I,5,71,47,69,2,38,5,0,23.5,68.12,55.07,7.25
E Kahamker,T20I,3,41,47,39,3,13,4,1,15.67,120.51,33.33,12.82
C Sridev,T20I,5,64,47,58,5,27,3,0,9.4,81.03,46.55,5.17
K Gore,T20I,3,32,47,28,3,7,4,2,15.67,167.86,25.0,21.43
Rehman Abdul,T20I,3,53,47,51,2,24,2,1,23.5,92.16,47.06,5.88
IA Cockbain,PSL,3,38,47,37,3,14,5,1,15.67,127.03,37.84,16.22
R McLaren,Test,2,108,47,108,2,84,6,0,23.5,43.52,77.78,5.56
IG Holland,T20I,3,54,47,52,2,21,4,0,23.5,90.38,40.38,7.69
M Klaas,T20I,14,68,47,66,10,32,3,0,4.7,71.21,48.48,4.55
Sadia Iqbal,ODI,19,95,47,93,11,62,4,0,4.27,50.54,66.67,4.3
