bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Gardner,Providence Stadium,T20I,4,60,74,5,20,7.4,14.8,33.33
A Gardner,"R Premadasa Stadium, Colombo",ODI,1,42,18,1,32,2.57,18.0,76.19
A Gardner,"Ray Mitchell Oval, Harrup Park, Mackay",ODI,3,96,76,1,52,4.75,76.0,54.17
A Gardner,Reliance Stadium,ODI,2,102,80,2,63,4.71,40.0,61.76
A Gardner,Seddon Park,T20I,1,6,8,0,4,8.0,8.0,66.67
A Gardner,Sharjah Cricket Stadium,T20I,3,66,70,2,22,6.36,35.0,33.33
A Gardner,"Shere Bangla National Stadium, Mirpur",ODI,3,128,69,8,100,3.23,8.62,78.12
A Gardner,"Shere Bangla National Stadium, Mirpur",T20I,3,54,42,4,25,4.67,10.5,46.3
A Gardner,"Simonds Stadium, South Geelong",T20I,1,6,3,1,3,3.0,3.0,50.0
A Gardner,"Sir Vivian Richards Stadium, Antigua",ODI,1,42,24,2,28,3.43,12.0,66.67
A Gardner,"Sir Vivian Richards Stadium, North Sound",T20I,2,48,38,5,23,4.75,7.6,47.92
A Gardner,"St George's Park, Gqeberha",T20I,3,54,56,2,24,6.22,28.0,44.44
A Gardner,St Lawrence Ground,ODI,1,30,15,0,24,3.0,15.0,80.0
A Gardner,Sydney Showground Stadium,T20I,1,18,19,0,2,6.33,19.0,11.11
A Gardner,The Cooper Associates County Ground,Test,1,108,38,1,85,2.11,38.0,78.7
A Gardner,"The Cooper Associates County Ground, Taunton",ODI,1,60,44,4,33,4.4,11.0,55.0
A Gardner,"The Rose Bowl, Southampton",ODI,1,60,55,3,24,5.5,18.33,40.0
A Gardner,"Trent Bridge, Nottingham",Test,1,272,173,12,186,3.82,14.42,68.38
A Gardner,W.A.C.A. Ground,ODI,1,60,37,0,30,3.7,37.0,50.0
A Gardner,W.A.C.A. Ground,T20I,1,6,8,0,4,8.0,8.0,66.67
A Gardner,"Wankhede Stadium, Mumbai",ODI,3,162,147,4,82,5.44,36.75,50.62
A Gardner,"Wankhede Stadium, Mumbai",Test,1,300,127,6,240,2.54,21.17,80.0
A Gardner,"Warner Park, Basseterre, St Kitts",ODI,3,166,109,9,99,3.94,12.11,59.64
A Gardner,"Western Australia Cricket Association Ground, Perth",ODI,1,60,30,5,42,3.0,6.0,70.0
A Gardner,"Western Australia Cricket Association Ground, Perth",Test,2,200,80,5,162,2.4,16.0,81.0
A Gbla,Gahanga International Cricket Stadium. Rwanda,T20I,2,24,29,2,10,7.25,14.5,41.67
A Gbla,Integrated Polytechnic Regional Centre,T20I,2,18,12,5,13,4.0,2.4,72.22
A Gbla,"Nigeria Cricket Federation Oval 1, Abuja",T20I,11,213,244,12,95,6.87,20.33,44.6
A Gbla,"Nigeria Cricket Federation Oval 2, Abuja",T20I,1,12,15,2,6,7.5,7.5,50.0
A Gbla,"Tafawa Balewa Square Cricket Oval, Lagos",T20I,2,24,38,0,7,9.5,38.0,29.17
A Gbla,University of Lagos Cricket Oval,T20I,5,90,96,10,41,6.4,9.6,45.56
A Gianani,"Scott Page Field, Vinor",T20I,1,12,9,0,8,4.5,9.0,66.67
A Gisdaki,"Marina Ground, Corfu",T20I,1,6,14,0,1,14.0,14.0,16.67
A Gulati,"Maple Leaf North-West Ground, King City",T20I,4,42,83,2,6,11.86,41.5,14.29
A Gunasekar,"Royal Selangor Club, Kuala Lumpur",T20I,1,18,29,0,3,9.67,29.0,16.67
A Gunasekar,"YSD-UKM Cricket Oval, Bangi",T20I,1,24,28,1,9,7.0,28.0,37.5
A Gupta,"Botkyrka Cricket Center, Stockholm",T20I,1,12,25,1,2,12.5,25.0,16.67
A Gupta,"Ishoj Cricket Club, Vejledalen",T20I,1,13,17,0,6,7.85,17.0,46.15
A Gupta,Koge Cricket Club,T20I,1,18,34,0,5,11.33,34.0,27.78
A Gupta,"Scott Page Field, Vinor",T20I,1,24,23,2,12,5.75,11.5,50.0
A Gurung,"Bayuemas Oval, Kuala Lumpur",T20I,2,36,21,3,22,3.5,7.0,61.11
A Gurung,Gelephu International Cricket Ground,T20I,10,234,187,11,140,4.79,17.0,59.83
A Gurung,"ICC Academy Ground No 2, Dubai",T20I,2,42,44,2,18,6.29,22.0,42.86
A Gurung,"ICC Academy, Dubai",T20I,3,66,32,7,48,2.91,4.57,72.73
A Gurung,"Kinrara Academy Oval, Kuala Lumpur",T20I,1,25,22,2,14,5.28,11.0,56.0
