bowler,year,format,balls,runs_given,wickets,matches,dot_balls,economy,average,strike_rate
Khushdil Shah,2026,PSL,121,195,8,7,42,9.67,24.38,15.12
Khushi Sharma,2021,T20I,79,71,11,4,43,5.39,6.45,7.18
Khushi Sharma,2022,T20I,348,355,18,23,179,6.12,19.72,19.33
Khushi Sharma,2023,T20I,222,162,17,12,116,4.38,9.53,13.06
Khushi Sharma,2024,T20I,99,95,3,9,60,5.76,31.67,33.0
Khuzaima Tanveer,2026,ODI,135,112,3,3,81,4.98,37.33,45.0
Khuzaima Tanveer,2026,T20I,41,58,0,2,18,8.49,58.0,41.0
Kim Daeyeon,2022,T20I,48,73,2,3,19,9.12,36.5,24.0
Kim Daeyeon,2024,T20I,90,108,8,5,34,7.2,13.5,11.25
Kim Daeyeon,2025,T20I,6,16,0,1,1,16.0,16.0,6.0
Kim Rang,2024,T20I,25,37,1,1,7,8.88,37.0,25.0
Kinaanath Ismail,2019,T20I,25,60,0,1,3,14.4,60.0,25.0
Kinley Bidha,2024,T20I,48,46,1,2,20,5.75,46.0,48.0
Kiyo Fujikawa,2019,T20I,13,10,0,1,6,4.62,10.0,13.0
Kiyo Fujikawa,2022,T20I,25,20,0,1,9,4.8,20.0,25.0
Kiyo Fujikawa,2023,T20I,6,9,0,1,0,9.0,9.0,6.0
Kiyo Fujikawa,2024,T20I,30,23,2,2,14,4.6,11.5,15.0
Komalpreet Grewal,2023,T20I,26,38,1,1,8,8.77,38.0,26.0
Komang Putra,2025,T20I,12,21,0,2,5,10.5,21.0,12.0
Krish Bhagat,2026,IPL,36,63,0,3,15,10.5,63.0,36.0
Krishna Chandran,2014,ODI,42,25,0,1,29,3.57,25.0,42.0
Krishna Chandran,2015,ODI,150,177,1,4,53,7.08,177.0,150.0
Krishna Chandran,2016,ODI,36,48,0,1,13,8.0,48.0,36.0
Kuldeep Gurjar,2022,T20I,12,37,0,2,3,18.5,37.0,12.0
Kuldeep Gurjar,2025,T20I,115,161,10,7,41,8.4,16.1,11.5
Kuldeep Lal,2019,T20I,6,17,0,1,2,17.0,17.0,6.0
Kuldeep Lal,2020,T20I,24,35,2,2,6,8.75,17.5,12.0
Kuldeep Yadav,2016,IPL,72,102,7,3,30,8.5,14.57,10.29
Kuldeep Yadav,2017,IPL,246,345,12,11,76,8.41,28.75,20.5
Kuldeep Yadav,2017,ODI,670,546,22,12,344,4.89,24.82,30.45
Kuldeep Yadav,2017,T20I,174,229,13,8,59,7.9,17.62,13.38
Kuldeep Yadav,2017,Test,348,189,9,2,254,3.26,21.0,38.67
Kuldeep Yadav,2018,IPL,308,423,18,16,94,8.24,23.5,17.11
Kuldeep Yadav,2018,ODI,974,775,43,18,531,4.77,18.02,22.65
Kuldeep Yadav,2018,T20I,207,212,21,9,104,6.14,10.1,9.86
Kuldeep Yadav,2018,Test,450,305,10,3,308,4.07,30.5,45.0
Kuldeep Yadav,2019,IPL,198,286,5,9,54,8.67,57.2,39.6
Kuldeep Yadav,2019,ODI,1188,1078,34,22,549,5.44,31.71,34.94
Kuldeep Yadav,2019,T20I,48,71,4,2,19,8.88,17.75,12.0
Kuldeep Yadav,2019,Test,191,105,5,1,141,3.3,21.0,38.2
Kuldeep Yadav,2020,IPL,73,95,1,4,19,7.81,95.0,73.0
Kuldeep Yadav,2020,ODI,300,328,6,5,111,6.56,54.67,50.0
Kuldeep Yadav,2020,T20I,24,39,2,1,6,9.75,19.5,12.0
Kuldeep Yadav,2021,ODI,228,256,3,4,100,6.74,85.33,76.0
Kuldeep Yadav,2021,T20I,36,46,2,2,9,7.67,23.0,18.0
Kuldeep Yadav,2021,Test,74,41,2,1,54,3.32,20.5,37.0
Kuldeep Yadav,2022,IPL,298,420,21,14,97,8.46,20.0,14.19
Kuldeep Yadav,2022,ODI,404,335,13,8,210,4.98,25.77,31.08
Kuldeep Yadav,2022,T20I,48,41,3,2,26,5.12,13.67,16.0
Kuldeep Yadav,2022,Test,216,120,8,1,168,3.33,15.0,27.0
Kuldeep Yadav,2023,IPL,294,366,10,14,86,7.47,36.6,29.4
Kuldeep Yadav,2023,ODI,1246,976,48,28,691,4.7,20.33,25.96
Kuldeep Yadav,2023,T20I,185,188,14,9,80,6.1,13.43,13.21
Kuldeep Yadav,2024,IPL,259,376,16,11,83,8.71,23.5,16.19
Kuldeep Yadav,2024,ODI,180,106,4,3,108,3.53,26.5,45.0
Kuldeep Yadav,2024,T20I,96,107,8,4,38,6.69,13.38,12.0
Kuldeep Yadav,2024,Test,814,525,22,5,567,3.87,23.86,37.0
Kuldeep Yadav,2025,IPL,319,392,16,14,108,7.37,24.5,19.94
Kuldeep Yadav,2025,ODI,627,558,20,11,292,5.34,27.9,31.35
Kuldeep Yadav,2025,T20I,184,217,21,9,82,7.08,10.33,8.76
Kuldeep Yadav,2025,Test,801,484,20,4,556,3.63,24.2,40.05
Kuldeep Yadav,2026,IPL,180,314,7,9,46,10.47,44.86,25.71
Kuldeep Yadav,2026,ODI,151,183,3,3,47,7.27,61.0,50.33
Kuldeep Yadav,2026,T20I,84,121,5,4,23,8.64,24.2,16.8
Kulwinderjeet Singh,2023,T20I,5,7,2,1,4,8.4,3.5,2.5
Kushal Malla,2019,T20I,24,38,1,2,12,9.5,38.0,24.0
Kushal Malla,2020,ODI,114,65,2,2,68,3.42,32.5,57.0
Kushal Malla,2020,T20I,30,22,1,2,14,4.4,22.0,30.0
Kushal Malla,2021,ODI,162,103,5,3,90,3.81,20.6,32.4
Kushal Malla,2021,T20I,24,29,2,2,10,7.25,14.5,12.0
Kushal Malla,2022,T20I,48,36,3,4,22,4.5,12.0,16.0
Kushal Malla,2023,ODI,450,391,11,16,229,5.21,35.55,40.91
Kushal Malla,2023,T20I,108,93,7,7,52,5.17,13.29,15.43
Kushal Malla,2024,ODI,331,207,8,9,201,3.75,25.88,41.38
Kushal Malla,2024,T20I,132,175,9,9,41,7.95,19.44,14.67
Kushal Malla,2025,ODI,19,16,0,1,9,5.05,16.0,19.0
Kushal Malla,2025,T20I,6,6,0,1,1,6.0,6.0,6.0
Kushal Malla,2026,T20I,5,15,1,1,1,18.0,15.0,5.0
Kyshona A Knight,2013,ODI,24,32,0,2,6,8.0,32.0,24.0
Kyte Gullem Keen,2025,T20I,49,45,4,3,31,5.51,11.25,12.25
L Ablish,2010,IPL,24,37,5,2,8,9.25,7.4,4.8
L Ablish,2011,IPL,18,39,0,1,3,13.0,39.0,18.0
L Anyait,2023,T20I,72,50,4,3,37,4.17,12.5,18.0
L Anyait,2024,T20I,235,152,10,11,146,3.88,15.2,23.5
L Balaji,2003,Test,181,91,0,1,146,3.02,91.0,181.0
L Balaji,2004,ODI,828,756,27,16,486,5.48,28.0,30.67
L Balaji,2004,Test,237,182,7,1,181,4.61,26.0,33.86
L Balaji,2005,ODI,114,138,1,3,62,7.26,138.0,114.0
L Balaji,2008,IPL,198,293,11,9,67,8.88,26.64,18.0
L Balaji,2009,IPL,224,320,14,13,74,8.57,22.86,16.0
L Balaji,2009,ODI,30,34,0,1,14,6.8,34.0,30.0
L Balaji,2010,IPL,141,214,10,7,54,9.11,21.4,14.1
L Balaji,2011,IPL,268,383,13,14,97,8.57,29.46,20.62
L Balaji,2012,IPL,180,169,12,8,90,5.63,14.08,15.0
L Balaji,2012,T20I,75,104,7,4,31,8.32,14.86,10.71
L Balaji,2013,IPL,300,399,13,13,122,7.98,30.69,23.08
L Balaji,2014,IPL,205,305,12,9,78,8.93,25.42,17.08
L Barnett,2023,T20I,97,48,6,4,69,2.97,8.0,16.17
L Barnett,2024,T20I,72,45,1,3,48,3.75,45.0,72.0
L Barnett,2025,T20I,156,125,6,7,79,4.81,20.83,26.0
L Berthe,2024,T20I,7,14,0,1,2,12.0,14.0,7.0
L Bigula,2025,T20I,38,37,1,2,16,5.84,37.0,38.0
L Bonner,2024,T20I,167,128,15,7,95,4.6,8.53,11.13
L Botha,2024,T20I,18,19,1,1,8,6.33,19.0,18.0
L Bruce,2021,T20I,60,98,0,4,17,9.8,98.0,60.0
L Bruce,2022,T20I,168,272,6,10,59,9.71,45.33,28.0
L Bruce,2023,T20I,248,271,14,13,110,6.56,19.36,17.71
L Bruce,2024,T20I,138,183,9,7,53,7.96,20.33,15.33
L Bruce,2025,T20I,72,98,5,3,37,8.17,19.6,14.4
L Bull,2021,T20I,30,21,4,2,18,4.2,5.25,7.5
L Bull,2025,T20I,383,285,29,22,213,4.46,9.83,13.21
L Cardoso,2021,T20I,8,0,1,1,8,0.0,0.0,8.0
L Cardoso,2022,T20I,18,33,0,1,4,11.0,33.0,18.0
L Cardoso,2023,T20I,96,77,12,6,55,4.81,6.42,8.0
L Cardoso,2025,T20I,217,182,10,14,111,5.03,18.2,21.7
L Cardoso,2026,T20I,91,36,17,6,70,2.37,2.12,5.35
L Cheatle,2016,T20I,72,68,4,5,40,5.67,17.0,18.0
L Cheatle,2017,ODI,102,106,2,2,57,6.24,53.0,51.0
L Cheatle,2019,ODI,42,36,0,2,22,5.14,36.0,42.0
L Cheatle,2023,Test,54,24,0,1,42,2.67,24.0,54.0
L Chipanga,2024,T20I,124,85,5,6,87,4.11,17.0,24.8
L Chipanga,2025,T20I,174,95,10,8,119,3.28,9.5,17.4
L Chipanga,2026,T20I,125,84,8,7,81,4.03,10.5,15.62
L Dalbina,2024,T20I,132,132,4,6,63,6.0,33.0,33.0
L Delany,2013,ODI,55,54,5,1,20,5.89,10.8,11.0
L Delany,2013,T20I,24,21,3,2,10,5.25,7.0,8.0
L Delany,2014,T20I,66,91,2,4,20,8.27,45.5,33.0
L Delany,2015,T20I,72,83,1,4,24,6.92,83.0,72.0
L Delany,2016,T20I,30,49,1,3,5,9.8,49.0,30.0
L Delany,2018,T20I,228,201,11,12,95,5.29,18.27,20.73
L Delany,2019,T20I,118,132,6,8,50,6.71,22.0,19.67
L Delany,2021,ODI,168,111,4,4,98,3.96,27.75,42.0
L Delany,2021,T20I,121,99,8,8,70,4.91,12.38,15.12
L Delany,2022,ODI,228,148,5,6,120,3.89,29.6,45.6
L Delany,2022,T20I,251,294,17,12,91,7.03,17.29,14.76
L Delany,2023,ODI,282,210,3,7,136,4.47,70.0,94.0
L Delany,2023,T20I,203,192,15,12,89,5.67,12.8,13.53
L Delany,2024,ODI,185,143,6,5,107,4.64,23.83,30.83
L Delany,2024,T20I,264,267,22,16,101,6.07,12.14,12.0
L Delany,2025,ODI,270,287,1,9,128,6.38,287.0,270.0
L Delany,2025,T20I,108,127,10,8,58,7.06,12.7,10.8
L Delany,2026,T20I,18,11,1,1,10,3.67,11.0,18.0
L Denny,2022,T20I,107,122,10,5,58,6.84,12.2,10.7
L Denny,2024,T20I,138,184,7,6,52,8.0,26.29,19.71
L Denny,2025,T20I,31,44,2,2,12,8.52,22.0,15.5
L Egging,2008,ODI,35,23,3,1,27,3.94,7.67,11.67
L Embuldeniya,2019,Test,1249,754,17,5,817,3.62,44.35,73.47
L Embuldeniya,2020,Test,783,451,14,2,557,3.46,32.21,55.93
L Embuldeniya,2021,Test,1922,878,33,6,1458,2.74,26.61,58.24
L Embuldeniya,2022,Test,925,576,9,4,631,3.74,64.0,102.78
L Enoch,2023,T20I,6,6,1,1,3,6.0,6.0,6.0
L Erdenebulgan,2023,T20I,24,47,1,1,5,11.75,47.0,24.0
L Erdenebulgan,2024,T20I,232,383,17,11,85,9.91,22.53,13.65
L Filer,2023,ODI,120,83,8,3,85,4.15,10.38,15.0
L Filer,2023,Test,301,260,4,2,191,5.18,65.0,75.25
L Filer,2024,ODI,324,273,12,9,201,5.06,22.75,27.0
L Filer,2024,T20I,155,169,6,7,84,6.54,28.17,25.83
L Filer,2024,Test,132,70,3,1,106,3.18,23.33,44.0
L Filer,2025,ODI,337,341,9,7,173,6.07,37.89,37.44
L Filer,2025,T20I,97,147,3,5,37,9.09,49.0,32.33
L Filer,2025,Test,157,89,2,1,105,3.4,44.5,78.5
L Gharasim,2020,T20I,13,13,1,1,6,6.0,13.0,13.0
L Gharasim,2022,T20I,6,6,0,1,1,6.0,6.0,6.0
L Gregory,2019,T20I,26,30,1,2,9,6.92,30.0,26.0
L Gregory,2020,PSL,60,106,4,4,18,10.6,26.5,15.0
L Gregory,2020,T20I,43,67,0,2,11,9.35,67.0,43.0
L Gregory,2021,ODI,116,97,4,3,68,5.02,24.25,29.0
L Gregory,2021,PSL,30,42,2,2,9,8.4,21.0,15.0
L Gregory,2021,T20I,12,25,1,1,2,12.5,25.0,12.0
L Gregory,2022,PSL,85,134,2,6,22,9.46,67.0,42.5
L Greig,2024,T20I,25,19,2,1,13,4.56,9.5,12.5
L Hamilton,2025,T20I,72,54,6,4,41,4.5,9.0,12.0
L Holmgaard,2024,T20I,36,11,5,2,29,1.83,2.2,7.2
L Holmgaard,2025,T20I,18,17,0,1,10,5.67,17.0,18.0
L Holmgaard,2026,T20I,24,37,0,2,5,9.25,37.0,24.0
L Hornby-Wheeler,2025,T20I,24,34,0,2,8,8.5,34.0,24.0
L Idambo,2021,T20I,78,56,5,4,51,4.31,11.2,15.6
L Idambo,2022,T20I,189,195,11,11,104,6.19,17.73,17.18
L Idambo,2023,T20I,162,87,12,8,119,3.22,7.25,13.5
L Idambo,2024,T20I,156,130,11,10,99,5.0,11.82,14.18
L Idambo,2025,T20I,30,51,1,4,13,10.2,51.0,30.0
L Jie,2019,T20I,203,124,13,9,111,3.67,9.54,15.62
L Jones,2024,T20I,72,45,4,4,50,3.75,11.25,18.0
L Jones,2025,ODI,95,92,4,2,51,5.81,23.0,23.75
L Karlsson,2021,T20I,96,120,5,6,45,7.5,24.0,19.2
L Karlsson,2022,T20I,149,133,14,8,76,5.36,9.5,10.64
L Keny,2022,T20I,60,25,9,5,46,2.5,2.78,6.67
L Keny,2023,T20I,6,12,0,1,0,12.0,12.0,6.0
L Keny,2024,T20I,6,9,1,1,2,9.0,9.0,6.0
L Khotso,2018,T20I,43,64,1,2,17,8.93,64.0,43.0
L Klokgieters,2018,T20I,37,57,4,2,13,9.24,14.25,9.25
L Klokgieters,2019,T20I,30,36,0,2,12,7.2,36.0,30.0
L Klusener,2003,ODI,154,140,5,4,74,5.45,28.0,30.8
L Klusener,2004,ODI,315,263,7,7,170,5.01,37.57,45.0
L Kooagile,2024,T20I,12,6,1,1,9,3.0,6.0,12.0
L Krvaric,2024,T20I,81,64,3,4,48,4.74,21.33,27.0
L Krvaric,2025,T20I,48,39,1,2,26,4.88,39.0,48.0
L Lamin,2021,T20I,6,11,0,1,1,11.0,11.0,6.0
L Lamin,2025,T20I,83,109,4,6,30,7.88,27.25,20.75
L Lee,2013,ODI,37,31,0,1,16,5.03,31.0,37.0
L Lee,2015,T20I,6,9,0,1,3,9.0,9.0,6.0
L Lee,2017,ODI,35,15,2,1,30,2.57,7.5,17.5
L Lee,2018,ODI,12,10,0,1,5,5.0,10.0,12.0
L Lee,2018,T20I,12,13,0,1,3,6.5,13.0,12.0
L Leemhuis,2025,T20I,18,29,1,2,12,9.67,29.0,18.0
L Little,2017,ODI,96,107,1,2,46,6.69,107.0,96.0
L Little,2018,ODI,55,74,0,1,26,8.07,74.0,55.0
L Little,2019,T20I,98,139,0,8,37,8.51,139.0,98.0
L Little,2023,T20I,31,50,0,3,10,9.68,50.0,31.0
L Little,2024,T20I,12,8,3,1,5,4.0,2.67,4.0
L Little,2025,ODI,157,132,7,4,87,5.04,18.86,22.43
L Little,2025,T20I,24,43,0,2,7,10.75,43.0,24.0
L Little,2026,T20I,18,21,0,1,6,7.0,21.0,18.0
L Mabhero,2023,T20I,10,1,1,1,9,0.6,1.0,10.0
L Mabhero,2024,ODI,234,186,3,6,129,4.77,62.0,78.0
L Mabhero,2024,T20I,252,248,9,14,123,5.9,27.56,28.0
L Mabhero,2025,ODI,216,144,6,5,113,4.0,24.0,36.0
L Mabhero,2025,T20I,192,193,11,10,93,6.03,17.55,17.45
L Mabhero,2026,T20I,48,45,1,3,21,5.62,45.0,48.0
L Makgale,2026,T20I,24,10,4,2,18,2.5,2.5,6.0
L Malino,2023,T20I,72,57,3,3,45,4.75,19.0,24.0
L Malino,2024,T20I,147,143,8,7,81,5.84,17.88,18.38
L Malino,2025,T20I,173,155,15,9,81,5.38,10.33,11.53
L Malino,2026,T20I,192,102,14,8,143,3.19,7.29,13.71
L Mamba,2023,T20I,19,23,1,2,10,7.26,23.0,19.0
L Mamba,2025,T20I,247,277,5,11,126,6.73,55.4,49.4
L Maphane,2022,T20I,7,15,0,1,0,12.86,15.0,7.0
L Maphane,2026,T20I,1,0,1,1,1,0.0,0.0,1.0
L Maritz,2017,ODI,79,97,0,2,36,7.37,97.0,79.0
L Maritz,2018,ODI,53,61,4,1,21,6.91,15.25,13.25
L Maritz,2018,T20I,73,104,2,5,30,8.55,52.0,36.5
L Maritz,2019,T20I,132,169,7,7,54,7.68,24.14,18.86
L Maritz,2021,T20I,147,100,8,9,93,4.08,12.5,18.38
L Martin,2025,T20I,40,55,4,2,16,8.25,13.75,10.0
L McCarthy,2025,ODI,152,185,5,3,80,7.3,37.0,30.4
L McCarthy,2025,T20I,24,81,0,1,3,20.25,81.0,24.0
L Moises,2021,T20I,12,3,3,1,10,1.5,1.0,4.0
L Moises,2022,T20I,69,75,5,3,29,6.52,15.0,13.8
L Moises,2025,T20I,228,166,10,13,134,4.37,16.6,22.8
L Moises,2026,T20I,102,35,11,6,79,2.06,3.18,9.27
L Monanthane,2024,T20I,42,46,1,3,18,6.57,46.0,42.0
L Monanthane,2026,T20I,27,31,1,3,12,6.89,31.0,27.0
L Mophakedi,2019,T20I,20,26,0,1,6,7.8,26.0,20.0
L Ngidi,2017,T20I,48,47,6,3,23,5.88,7.83,8.0
L Ngidi,2018,IPL,156,162,13,7,79,6.23,12.46,12.0
L Ngidi,2018,ODI,646,611,27,13,354,5.67,22.63,23.93
L Ngidi,2018,T20I,72,86,5,4,41,7.17,17.2,14.4
L Ngidi,2018,Test,620,306,15,4,489,2.96,20.4,41.33
L Ngidi,2019,ODI,380,348,15,9,221,5.49,23.2,25.33
L Ngidi,2019,Test,120,88,0,1,92,4.4,88.0,120.0
L Ngidi,2020,IPL,98,169,10,4,35,10.35,16.9,9.8
L Ngidi,2020,ODI,204,197,12,4,109,5.79,16.42,17.0
L Ngidi,2020,T20I,201,357,18,9,63,10.66,19.83,11.17
L Ngidi,2020,Test,175,104,3,1,130,3.57,34.67,58.33
L Ngidi,2021,IPL,72,129,5,3,25,10.75,25.8,14.4
L Ngidi,2021,ODI,163,171,2,3,84,6.29,85.5,81.5
L Ngidi,2021,T20I,154,235,8,7,67,9.16,29.38,19.25
L Ngidi,2021,Test,741,385,22,5,583,3.12,17.5,33.68
L Ngidi,2022,ODI,481,456,12,10,251,5.69,38.0,40.08
L Ngidi,2022,T20I,244,365,23,13,104,8.98,15.87,10.61
L Ngidi,2022,Test,665,361,11,6,509,3.26,32.82,60.45
L Ngidi,2023,ODI,700,712,20,15,407,6.1,35.6,35.0
L Ngidi,2023,T20I,73,156,2,4,21,12.82,78.0,36.5
L Ngidi,2024,ODI,133,145,4,3,72,6.54,36.25,33.25
L Ngidi,2024,T20I,72,105,4,3,31,8.75,26.25,18.0
L Ngidi,2024,Test,141,82,5,2,104,3.49,16.4,28.2
L Ngidi,2025,IPL,48,81,4,2,13,10.12,20.25,12.0
L Ngidi,2025,ODI,542,580,17,12,273,6.42,34.12,31.88
L Ngidi,2025,T20I,274,357,14,13,131,7.82,25.5,19.57
L Ngidi,2025,Test,128,83,3,1,81,3.89,27.67,42.67
L Ngidi,2026,IPL,166,237,9,7,59,8.57,26.33,18.44
L Ngidi,2026,T20I,145,182,10,7,67,7.53,18.2,14.5
L Nou,2015,T20I,42,39,2,2,19,5.57,19.5,21.0
L Ntanzi,2024,T20I,7,10,0,1,3,8.57,10.0,7.0
L Nyarko,2024,T20I,66,44,4,4,47,4.0,11.0,16.5
L Nyarko,2026,T20I,82,63,6,4,43,4.61,10.5,13.67
L Ostergaard,2024,T20I,86,54,9,5,55,3.77,6.0,9.56
L Ostergaard,2025,T20I,84,67,7,4,50,4.79,9.57,12.0
L Ostergaard,2026,T20I,96,111,1,4,37,6.94,111.0,96.0
L Paul,2017,ODI,37,21,0,2,18,3.41,21.0,37.0
L Paul,2019,T20I,90,91,6,5,38,6.07,15.17,15.0
L Paul,2021,ODI,222,158,4,4,127,4.27,39.5,55.5
L Paul,2021,T20I,180,141,13,10,92,4.7,10.85,13.85
L Paul,2022,ODI,154,164,2,8,67,6.39,82.0,77.0
L Paul,2022,T20I,116,152,3,9,39,7.86,50.67,38.67
L Paul,2023,ODI,44,48,0,2,16,6.55,48.0,44.0
L Paul,2023,T20I,78,92,3,4,24,7.08,30.67,26.0
L Paul,2024,ODI,18,22,0,1,7,7.33,22.0,18.0
L Paul,2024,T20I,38,40,3,3,11,6.32,13.33,12.67
L Paul,2025,ODI,44,43,0,3,18,5.86,43.0,44.0
L Paul,2025,T20I,64,42,8,5,38,3.94,5.25,8.0
L Phiri,2019,T20I,18,6,0,2,16,2.0,6.0,18.0
L Phiri,2021,ODI,132,111,2,4,64,5.05,55.5,66.0
L Phiri,2021,T20I,116,113,9,7,64,5.84,12.56,12.89
L Phiri,2022,T20I,102,81,8,6,57,4.76,10.12,12.75
L Phiri,2023,ODI,12,17,0,1,3,8.5,17.0,12.0
L Phiri,2024,ODI,90,78,3,3,49,5.2,26.0,30.0
L Phiri,2024,T20I,54,60,1,4,20,6.67,60.0,54.0
L Phiri,2025,ODI,108,88,3,4,54,4.89,29.33,36.0
L Phiri,2025,T20I,24,33,1,2,6,8.25,33.0,24.0
L Phiri,2026,T20I,42,65,1,3,7,9.29,65.0,42.0
L Piety,2023,T20I,49,44,3,3,25,5.39,14.67,16.33
L Piety,2024,T20I,116,79,9,7,71,4.09,8.78,12.89
L Piety,2025,T20I,66,56,11,4,35,5.09,5.09,6.0
L Piety,2026,T20I,25,17,2,2,16,4.08,8.5,12.5
L Polaki,2026,T20I,90,101,5,5,53,6.73,20.2,18.0
L Qiao,2023,T20I,60,48,4,3,33,4.8,12.0,15.0
L Qiao,2024,T20I,186,82,15,9,136,2.65,5.47,12.4
L Qiao,2025,T20I,18,20,1,1,8,6.67,20.0,18.0
L Ramjit,2019,T20I,108,81,7,6,61,4.5,11.57,15.43
L Rika,2019,T20I,15,28,0,1,2,11.2,28.0,15.0
L Samani,2019,T20I,6,7,0,1,2,7.0,7.0,6.0
L Sanogo,2022,T20I,54,73,1,3,21,8.11,73.0,54.0
L Sanogo,2024,T20I,30,36,2,2,17,7.2,18.0,15.0
L Shafeeg,2019,T20I,66,76,4,3,24,6.91,19.0,16.5
L Shafeeg,2021,T20I,18,31,0,2,9,10.33,31.0,18.0
L Shafeeg,2022,T20I,6,12,0,1,2,12.0,12.0,6.0
L Shafeeg,2023,T20I,74,121,5,5,27,9.81,24.2,14.8
L Shafeeg,2024,T20I,156,203,8,8,68,7.81,25.38,19.5
L Shetty,2024,ODI,36,47,0,2,18,7.83,47.0,36.0
L Shetty,2025,T20I,48,65,2,3,16,8.12,32.5,24.0
L Shetty,2026,T20I,104,107,8,7,59,6.17,13.38,13.0
L Siaka,2016,ODI,30,15,1,2,19,3.0,15.0,30.0
L Siaka,2017,ODI,12,12,0,1,3,6.0,12.0,12.0
L Siaka,2018,ODI,18,15,0,1,7,5.0,15.0,18.0
L Siaka,2019,ODI,103,76,2,4,61,4.43,38.0,51.5
L Siaka,2019,T20I,61,52,7,4,25,5.11,7.43,8.71
L Siaka,2021,ODI,30,29,0,2,12,5.8,29.0,30.0
L Siaka,2021,T20I,18,26,0,2,5,8.67,26.0,18.0
L Siaka,2022,ODI,6,6,0,1,3,6.0,6.0,6.0
L Siaka,2022,T20I,6,15,0,1,0,15.0,15.0,6.0
L Siaka,2025,T20I,6,10,0,1,1,10.0,10.0,6.0
L Sipamla,2019,T20I,94,137,6,5,32,8.74,22.83,15.67
L Sipamla,2020,ODI,146,122,2,3,82,5.01,61.0,73.0
L Sipamla,2020,T20I,17,45,0,1,2,15.88,45.0,17.0
L Sipamla,2020,Test,130,106,7,1,86,4.89,15.14,18.57
L Sipamla,2021,ODI,37,50,0,1,14,8.11,50.0,37.0
L Sipamla,2021,T20I,54,90,1,3,15,10.0,90.0,54.0
L Sipamla,2021,Test,114,68,4,1,85,3.58,17.0,28.5
L Sipamla,2022,Test,180,78,1,1,151,2.6,78.0,180.0
L Sipamla,2024,T20I,49,104,1,2,11,12.73,104.0,49.0
L Sipamla,2025,T20I,48,88,4,2,17,11.0,22.0,12.0
L Sipamla,2026,T20I,14,26,1,1,7,11.14,26.0,14.0
L Sormus,2024,T20I,181,174,7,8,81,5.77,24.86,25.86
L Tastuki,2019,T20I,72,52,2,3,45,4.33,26.0,36.0
L Taylor,2023,T20I,127,100,6,7,67,4.72,16.67,21.17
L Taylor,2025,T20I,121,97,4,6,58,4.81,24.25,30.25
L Thobela,2023,T20I,8,7,0,1,4,5.25,7.0,8.0
L Tshuma,2021,ODI,186,127,3,4,106,4.1,42.33,62.0
L Tshuma,2021,T20I,126,117,11,6,63,5.57,10.64,11.45
L Tshuma,2022,T20I,78,66,5,5,39,5.08,13.2,15.6
L Tshuma,2023,ODI,132,91,1,3,84,4.14,91.0,132.0
L Tshuma,2023,T20I,170,141,9,8,87,4.98,15.67,18.89
L Tshuma,2024,ODI,139,110,6,4,72,4.75,18.33,23.17
L Tshuma,2024,T20I,216,213,8,11,92,5.92,26.62,27.0
L Tshuma,2025,ODI,271,203,14,7,151,4.49,14.5,19.36
L Tshuma,2025,T20I,197,207,13,11,80,6.3,15.92,15.15
L Tshuma,2026,ODI,78,82,1,3,29,6.31,82.0,78.0
L Tshuma,2026,T20I,64,80,3,4,25,7.5,26.67,21.33
L Udeh,2022,T20I,61,41,2,3,43,4.03,20.5,30.5
L Udeh,2023,T20I,25,40,0,1,8,9.6,40.0,25.0
L Udeh,2024,T20I,246,149,25,11,174,3.63,5.96,9.84
L Udeh,2025,T20I,212,155,10,11,139,4.39,15.5,21.2
L Udeh,2026,T20I,42,18,3,2,35,2.57,6.0,14.0
L Vincent,2005,Test,6,2,0,1,4,2.0,2.0,6.0
L Vincent,2007,ODI,18,22,1,2,12,7.33,22.0,18.0
L Visser,2025,T20I,60,73,5,5,27,7.3,14.6,12.0
L Vuadreu,2019,T20I,24,25,4,1,11,6.25,6.25,6.0
L Wahmowe,2025,T20I,60,58,8,3,30,5.8,7.25,7.5
L Ward,2024,T20I,6,4,1,1,2,4.0,4.0,6.0
L Wesley,2026,T20I,4,3,1,1,4,4.5,3.0,4.0
L Wood,2022,ODI,60,63,0,1,29,6.3,63.0,60.0
L Wood,2022,PSL,24,45,1,1,4,11.25,45.0,24.0
L Wood,2022,T20I,48,73,3,2,14,9.12,24.33,16.0
L Wood,2023,T20I,60,101,5,3,24,10.1,20.2,12.0
L Wood,2024,IPL,37,94,1,2,9,15.24,94.0,37.0
L Wood,2024,PSL,255,359,12,11,91,8.45,29.92,21.25
L Wood,2025,ODI,48,54,1,1,24,6.75,54.0,48.0
L Wood,2025,PSL,176,216,13,8,83,7.36,16.62,13.54
L Wood,2025,T20I,151,214,10,8,70,8.5,21.4,15.1
L Wood,2026,T20I,30,44,2,2,15,8.8,22.0,15.0
LA Burns,2022,T20I,264,270,17,12,118,6.14,15.88,15.53
LA Burns,2023,T20I,76,49,9,4,43,3.87,5.44,8.44
LA Burns,2024,T20I,259,272,19,11,136,6.3,14.32,13.63
LA Burns,2025,T20I,102,65,7,5,59,3.82,9.29,14.57
LA Carseldine,2009,IPL,6,6,1,1,4,6.0,6.0,6.0
LA Dawson,2016,ODI,48,70,2,1,14,8.75,35.0,24.0
LA Dawson,2016,T20I,24,27,4,1,4,6.75,6.75,6.0
