bowler,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
MS Kasprowicz,31,3056,1767.0,81,2184,15,91,509.3,3.47,21.81,71.47,37.73
JA Warrican,22,4412,2236.0,80,3125,0,16,735.3,3.04,27.95,70.83,55.15
G Coetzee,49,1717,2048.0,80,926,87,6,286.2,7.16,25.6,53.93,21.46
Mohammad Naveed,54,2044,1853.0,80,1137,45,15,340.7,5.44,23.16,55.63,25.55
XJ Doherty,70,3892,3038.0,80,2159,32,1,648.7,4.68,37.98,55.47,48.65
MNM Aslam,68,1415,1453.0,80,635,15,2,235.8,6.16,18.16,44.88,17.69
Al-Amin Hossain,50,2284,1865.0,80,1404,32,3,380.7,4.9,23.31,61.47,28.55
AC Evans,55,1897,2000.0,80,1007,78,5,316.2,6.33,25.0,53.08,23.71
JW Dernbach,62,2054,2462.0,79,908,89,8,342.3,7.19,31.16,44.21,26.0
RTM Mendis,22,4293,2334.0,79,2912,9,6,715.5,3.26,29.54,67.83,54.34
Jahanara Alam,83,2067,1851.0,79,1181,79,7,344.5,5.37,23.43,57.14,26.16
Aqib Iqbal,60,1293,1519.0,79,627,82,2,215.5,7.05,19.23,48.49,16.37
IDR Bradshaw,52,3388,2184.0,79,2246,77,35,564.7,3.87,27.65,66.29,42.89
M Kartik,82,3173,2814.0,79,1612,45,30,528.8,5.32,35.62,50.8,40.16
A Bohara,59,1237,1500.0,78,453,28,1,206.2,7.28,19.23,36.62,15.86
SC Selman,91,2517,2013.0,78,1395,67,34,419.5,4.8,25.81,55.42,32.27
KS Williamson,130,3756,2712.0,78,2138,32,2,626.0,4.33,34.77,56.92,48.15
OE Robinson,20,3873,1742.0,78,2991,5,77,645.5,2.7,22.33,77.23,49.65
CD Collymore,52,5276,2887.0,78,3794,68,56,879.3,3.28,37.01,71.91,67.64
CW Perchard,46,1105,1081.0,78,522,27,1,184.2,5.87,13.86,47.24,14.17
SA Abbott,61,1975,2263.0,78,938,65,16,329.2,6.87,29.01,47.49,25.32
VR Aaron,68,2595,2847.0,77,1418,98,32,432.5,6.58,36.97,54.64,33.7
UWMBCA Welegedara,32,4367,2767.0,77,3065,28,75,727.8,3.8,35.94,70.19,56.71
PWA Mulder,63,3087,2150.0,77,2066,62,55,514.5,4.18,27.92,66.93,40.09
Rumman Raees,65,1620,1973.0,77,674,58,10,270.0,7.31,25.62,41.6,21.04
MD Shanaka,117,2466,2346.0,77,1216,58,8,411.0,5.71,30.47,49.31,32.03
Sadia Yousuf,56,1931,1618.0,76,972,30,1,321.8,5.03,21.29,50.34,25.41
Syed Aziz,72,1259,1522.0,76,584,90,10,209.8,7.25,20.03,46.39,16.57
Iftikhar Anjum,58,2816,2329.0,75,1646,40,6,469.3,4.96,31.05,58.45,37.55
P Maya,77,1277,1172.0,75,733,76,17,212.8,5.51,15.63,57.4,17.03
LA Dawson,71,2444,2269.0,75,1242,21,0,407.3,5.57,30.25,50.82,32.59
Washeem Abbas,49,1037,1400.0,75,428,68,2,172.8,8.1,18.67,41.27,13.83
SCG MacGill,17,4379,2426.0,75,3258,3,26,729.8,3.32,32.35,74.4,58.39
Abdul Majid Abbasi,74,1577,1463.0,75,796,7,1,262.8,5.57,19.51,50.48,21.03
PZ Kamunya,47,1016,660.0,75,636,27,1,169.3,3.9,8.8,62.6,13.55
N Senamontree,49,1078,966.0,75,595,17,0,179.7,5.38,12.88,55.19,14.37
