bowler,opponent,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Gbla,Ghana,T20I,1,12,9,4,9,4.5,2.25,75.0
A Gbla,Nigeria,T20I,9,164,183,16,74,6.7,11.44,45.12
A Gbla,Rwanda,T20I,5,85,95,4,34,6.71,23.75,40.0
A Gbla,St Helena,T20I,1,12,16,0,4,8.0,16.0,33.33
A Gbla,Zambia,T20I,4,78,99,5,38,7.62,19.8,48.72
A Gianani,Czech Republic,T20I,1,12,9,0,8,4.5,9.0,66.67
A Gisdaki,Spain,T20I,1,6,14,0,1,14.0,14.0,16.67
A Gulati,Bermuda,T20I,1,6,11,0,1,11.0,11.0,16.67
A Gulati,Canada,T20I,2,12,30,0,1,15.0,30.0,8.33
A Gulati,Cayman Islands,T20I,1,24,42,2,4,10.5,21.0,16.67
A Gunasekar,Japan,T20I,1,24,28,1,9,7.0,28.0,37.5
A Gunasekar,United Arab Emirates,T20I,1,18,29,0,3,9.67,29.0,16.67
A Gupta,Czech Republic,T20I,1,24,23,2,12,5.75,11.5,50.0
A Gupta,Denmark,T20I,1,18,34,0,5,11.33,34.0,27.78
A Gupta,Finland,T20I,1,13,17,0,6,7.85,17.0,46.15
A Gupta,France,T20I,1,12,25,1,2,12.5,25.0,16.67
A Gurung,Bahrain,T20I,1,24,7,3,21,1.75,2.33,87.5
A Gurung,Hong Kong,T20I,6,138,124,7,77,5.39,17.71,55.8
A Gurung,Indonesia,T20I,3,60,27,3,38,2.7,9.0,63.33
A Gurung,Kuwait,T20I,4,85,63,5,53,4.45,12.6,62.35
A Gurung,Malaysia,T20I,5,114,52,8,84,2.74,6.5,73.68
A Gurung,Maldives,T20I,1,24,6,3,22,1.5,2.0,91.67
A Gurung,Myanmar,T20I,4,90,75,3,50,5.0,25.0,55.56
A Gurung,Nepal,T20I,4,78,52,3,46,4.0,17.33,58.97
A Gurung,Qatar,T20I,1,24,12,2,16,3.0,6.0,66.67
A Gurung,Singapore,T20I,2,48,13,1,40,1.62,13.0,83.33
A Gurung,Thailand,T20I,1,13,21,1,2,9.69,21.0,15.38
A Gurung,United Arab Emirates,T20I,2,36,33,2,20,5.5,16.5,55.56
A Hartley,Australia,ODI,3,162,112,5,95,4.15,22.4,58.64
A Hartley,Australia,T20I,1,12,24,1,2,12.0,24.0,16.67
A Hartley,India,ODI,7,280,229,5,143,4.91,45.8,51.07
A Hartley,India,T20I,2,40,36,0,15,5.4,36.0,37.5
A Hartley,Isle of Man,T20I,1,18,15,1,7,5.0,15.0,38.89
A Hartley,Italy,T20I,1,12,11,0,4,5.5,11.0,33.33
A Hartley,New Zealand,ODI,1,58,45,3,34,4.66,15.0,58.62
A Hartley,Pakistan,ODI,2,98,66,1,62,4.04,66.0,63.27
A Hartley,Pakistan,T20I,1,18,19,2,8,6.33,9.5,44.44
A Hartley,South Africa,ODI,2,114,95,2,59,5.0,47.5,51.75
A Hartley,Sri Lanka,ODI,5,240,155,10,153,3.88,15.5,63.75
A Hartley,West Indies,ODI,1,60,25,1,43,2.5,25.0,71.67
A Hewage,Serbia,T20I,1,6,0,1,6,0.0,0.0,100.0
A Hlubi,Australia,ODI,2,74,87,2,40,7.05,43.5,54.05
A Hlubi,Australia,Test,1,102,86,0,70,5.06,86.0,68.63
A Hlubi,Bangladesh,T20I,1,24,15,2,14,3.75,7.5,58.33
A Hlubi,England,ODI,2,36,36,0,22,6.0,36.0,61.11
A Hlubi,England,T20I,3,46,80,3,17,10.43,26.67,36.96
A Hlubi,England,Test,1,90,49,3,74,3.27,16.33,82.22
A Hlubi,India,T20I,1,24,39,0,7,9.75,39.0,29.17
A Hlubi,Ireland,ODI,2,108,98,0,63,5.44,98.0,58.33
A Hlubi,New Zealand,ODI,1,60,47,2,30,4.7,23.5,50.0
A Hlubi,New Zealand,T20I,2,36,43,1,19,7.17,43.0,52.78
A Hlubi,Pakistan,ODI,3,110,135,2,58,7.36,67.5,52.73
A Hlubi,Pakistan,T20I,2,37,71,3,14,11.51,23.67,37.84
A Hlubi,West Indies,ODI,2,90,97,4,50,6.47,24.25,55.56
A Hogg,Ireland,T20I,1,12,13,0,5,6.5,13.0,41.67
A Husain,Bahamas,T20I,2,43,45,3,20,6.28,15.0,46.51
A Husain,Belize,T20I,1,12,13,1,5,6.5,13.0,41.67
A Husain,Bermuda,T20I,2,30,36,1,11,7.2,36.0,36.67
A Husain,Brazil,T20I,2,36,44,1,16,7.33,44.0,44.44
A Husain,Cayman Islands,T20I,2,30,46,1,6,9.2,46.0,20.0
A Husain,Mexico,T20I,3,67,72,4,20,6.45,18.0,29.85
A Husain,Panama,T20I,1,13,8,2,8,3.69,4.0,61.54
A Husain,Suriname,T20I,2,36,37,3,19,6.17,12.33,52.78
A Ikuzwe,Botswana,T20I,2,48,25,5,33,3.12,5.0,68.75
A Ikuzwe,Brazil,T20I,1,24,9,0,16,2.25,9.0,66.67
A Ikuzwe,Cameroon,T20I,3,42,23,4,31,3.29,5.75,73.81
A Ikuzwe,Eswatini,T20I,1,12,3,2,11,1.5,1.5,91.67
A Ikuzwe,Ghana,T20I,2,24,15,0,12,3.75,15.0,50.0
A Ikuzwe,Italy,T20I,1,12,21,0,5,10.5,21.0,41.67
A Ikuzwe,Kenya,T20I,14,303,258,25,164,5.11,10.32,54.13
A Ikuzwe,Malawi,T20I,3,60,41,7,40,4.1,5.86,66.67
A Ikuzwe,Mozambique,T20I,1,3,1,1,3,2.0,1.0,100.0
A Ikuzwe,Namibia,T20I,1,24,25,1,12,6.25,25.0,50.0
A Ikuzwe,Nepal,T20I,1,16,23,0,8,8.62,23.0,50.0
A Ikuzwe,Nigeria,T20I,8,169,127,12,98,4.51,10.58,57.99
A Ikuzwe,Sierra Leone,T20I,2,42,43,0,21,6.14,43.0,50.0
A Ikuzwe,Tanzania,T20I,4,66,61,3,37,5.55,20.33,56.06
A Ikuzwe,Uganda,T20I,5,90,80,3,56,5.33,26.67,62.22
A Ikuzwe,United States of America,T20I,1,18,21,0,8,7.0,21.0,44.44
A Ikuzwe,Vanuatu,T20I,2,12,18,0,7,9.0,18.0,58.33
A Ikuzwe,Zimbabwe,T20I,1,12,16,1,4,8.0,16.0,33.33
A Ilahi,Switzerland,T20I,4,96,91,5,44,5.69,18.2,45.83
A Iopu,Fiji,T20I,1,6,2,1,4,2.0,2.0,66.67
A Iopu,Japan,T20I,1,6,15,0,0,15.0,15.0,0.0
A Iopu,Vanuatu,T20I,1,6,5,1,2,5.0,5.0,33.33
A Johnson,Bahamas,T20I,1,12,12,0,4,6.0,12.0,33.33
A Johnson,Namibia,T20I,1,6,20,0,0,20.0,20.0,0.0
A Johnson,Oman,ODI,1,24,14,0,13,3.5,14.0,54.17
A Johnson,Oman,T20I,1,12,4,1,8,2.0,4.0,66.67
A Joshi,Croatia,T20I,1,14,22,0,4,9.43,22.0,28.57
A Joshi,Gibraltar,T20I,1,21,43,0,3,12.29,43.0,14.29
A Kalasi,Bhutan,T20I,1,24,15,2,10,3.75,7.5,41.67
A Kalasi,Cook Islands,T20I,1,12,15,1,5,7.5,15.0,41.67
A Kalasi,Indonesia,T20I,7,145,98,9,73,4.06,10.89,50.34
