bowler,format,cluster,wickets,economy,average,dot_pct
Sikandar Raza,T20I,0,101,6.89,21.63,34.86
BW Hilfenhaus,Test,3,101,2.75,27.94,78.5
I Sharma,IPL,5,100,8.3,33.77,43.82
YS Chahal,T20I,5,100,8.17,24.09,34.03
Mohammad Abbas,Test,3,100,2.5,23.18,80.75
Haris Rauf,PSL,5,100,9.32,26.76,35.89
DM Nakrani,T20I,7,100,5.65,13.4,49.93
RP Singh,IPL,5,100,7.85,23.38,44.18
Karan KC,ODI,1,100,5.17,24.3,60.01
Bilal Khan,ODI,1,100,5.03,20.36,59.05
PVD Chameera,T20I,5,100,7.95,21.81,40.46
MD Bimenyimana,T20I,7,100,4.23,8.98,58.16
Naved-ul-Hasan,ODI,1,100,5.35,26.0,57.03
JNT Seales,Test,1,100,3.39,24.58,73.74
TL Chatara,ODI,1,99,5.37,31.23,56.7
PP Ojha,IPL,5,99,7.36,23.56,37.24
Avesh Khan,IPL,5,99,9.24,27.17,36.0
IK Pathan,IPL,5,99,7.78,26.76,43.3
SP Narine,ODI,1,99,4.1,24.04,60.17
ER Oza,T20I,7,98,5.06,11.99,52.01
AR Patel,T20I,0,98,7.52,20.4,40.44
LH Ferguson,ODI,6,98,5.71,31.31,54.8
PD Collingwood,ODI,6,98,4.85,34.95,48.96
KH Brunt,ODI,1,98,3.79,22.29,66.9
IJR Zwilling,T20I,7,98,5.04,14.86,58.4
AY Patel,Test,3,97,3.14,27.04,73.78
S Luus,ODI,1,97,4.7,26.3,51.06
L Delany,T20I,0,97,6.17,15.93,41.45
TM Dilshan,ODI,6,97,4.92,42.9,45.28
DJ Hawoe,T20I,0,96,7.15,20.52,46.7
SR Clark,Test,3,96,2.6,23.36,79.36
AJ Hosein,T20I,5,96,7.41,25.09,40.05
JA Morkel,IPL,5,96,8.15,24.57,39.34
KK Ahmed,IPL,5,96,8.92,25.77,43.3
AL Phehlukwayo,ODI,6,96,5.8,30.73,48.2
Zahoor Khan,ODI,1,95,4.99,24.42,55.27
KL Cross,ODI,1,95,4.48,24.52,63.68
S Ismail,T20I,0,95,5.87,18.44,51.95
SFM Devine,T20I,0,95,7.08,18.52,41.92
RL Chase,Test,3,95,3.54,47.64,66.57
Mohammad Asif,Test,3,95,2.91,23.56,77.84
Saeed Ajmal,T20I,0,94,6.36,16.13,43.36
Imad Wasim,PSL,5,94,7.09,27.11,38.91
A Nel,ODI,1,94,4.62,23.4,62.79
Umar Gul,T20I,0,94,7.29,15.19,41.75
Sompal Kami,ODI,1,94,5.41,27.41,58.3
M Prasidh Krishna,IPL,5,94,8.83,26.28,41.24
A Gardner,T20I,0,93,6.6,18.23,39.94
SM Pollock,Test,3,93,2.5,27.81,79.86
A Shrubsole,ODI,1,93,4.18,23.43,65.5
GD McGrath,Test,3,93,2.39,20.39,82.0
EA Perry,T20I,7,93,5.84,16.88,52.2
MM Patel,ODI,1,93,4.89,27.47,58.72
F Banunaek,T20I,0,93,6.96,20.66,45.11
DJ Bravo,T20I,5,93,8.11,21.59,30.51
I Ranaweera,T20I,0,93,6.01,17.02,41.14
M Kapp,T20I,7,93,5.6,17.89,53.42
Kuldeep Yadav,T20I,0,93,6.87,13.37,41.07
MJ McClenaghan,ODI,4,92,5.9,25.14,52.46
MRJ Watt,T20I,0,92,7.02,20.85,38.54
Junaid Siddique,ODI,1,92,5.1,26.27,59.84
IO Okpe,T20I,0,92,6.57,16.68,44.15
ASS Fletcher,ODI,1,92,4.71,24.49,53.15
A Shrubsole,T20I,7,92,5.92,14.51,54.66
DL Chahar,IPL,5,92,8.24,29.64,42.92
B Kumar,T20I,0,92,7.05,22.55,49.29
B Muzarabani,T20I,0,92,6.86,20.51,47.45
Sompal Kami,T20I,0,91,7.16,20.41,47.01
S Glenn,T20I,0,91,6.05,16.12,42.57
DS Kulkarni,IPL,5,91,8.27,27.19,42.64
Fatima Sana,ODI,1,91,5.44,25.03,56.05
Z Bimenyimana,T20I,0,91,7.14,19.79,49.83
A King,ODI,7,91,4.28,17.57,56.61
M Klaas,ODI,1,91,5.03,28.24,59.41
Imran Anwar,T20I,0,91,7.07,19.82,43.15
SM Sharif,T20I,5,91,8.02,20.44,37.46
HH Pandya,ODI,6,91,5.59,34.47,51.78
SJ Benn,Test,3,90,2.79,36.66,74.1
T Shamsi,T20I,5,90,7.43,20.6,35.98
L Ngidi,T20I,5,90,8.6,20.44,42.71
M Jansen,Test,1,89,3.27,21.12,74.86
Ravi Bishnoi,IPL,5,89,8.34,28.02,34.43
PA van Meekeren,T20I,0,89,7.09,19.75,46.24
KV Sharma,IPL,5,89,8.38,24.89,34.01
Mohammad Amir,ODI,1,88,4.78,26.81,58.29
M Morkel,IPL,5,88,7.63,23.74,44.95
Mohammad Irfan,ODI,1,88,4.9,28.97,60.16
E Chigumbura,ODI,6,88,5.85,39.66,52.83
HH Pandya,IPL,5,88,9.32,31.11,34.62
CK Langeveldt,ODI,1,88,5.16,29.55,56.69
DJG Sammy,ODI,6,87,4.68,43.4,52.73
CE Dean,ODI,1,87,4.73,22.54,56.76
RW Price,ODI,6,87,4.12,32.41,57.07
Rohan Mustafa,ODI,1,87,4.49,29.95,53.85
R Shepherd,T20I,5,87,9.98,25.55,30.22
DJG Sammy,Test,3,86,2.89,34.97,75.28
C de Lange,T20I,7,86,5.14,16.28,47.12
PJ Cummins,IPL,5,86,8.81,29.3,37.82
Wahab Riaz,Test,3,86,3.33,33.3,71.35
K Rabada,T20I,5,86,8.33,26.62,42.69
W Mwatile,T20I,7,86,4.44,14.93,64.71
Imran Tahir,IPL,5,86,7.76,19.8,34.24
P Kumar,ODI,6,86,5.13,32.26,57.89
M Theekshana,T20I,5,86,7.04,24.02,39.07
AM Kimote,T20I,0,85,6.97,15.05,45.14
CA Young,T20I,5,85,8.18,20.59,39.8
L Balaji,IPL,5,85,8.03,23.86,38.39
M Akayezu,T20I,0,85,7.9,19.2,45.36
AJ Hall,ODI,1,85,4.57,22.96,57.74
SM Boland,Test,1,85,2.85,17.93,76.51
I Ranaweera,ODI,1,84,4.56,29.56,55.02
Vraj Patel,T20I,7,84,5.39,13.27,51.77
R McLaren,ODI,1,84,5.23,24.44,54.9
S Sreesanth,Test,3,84,3.58,37.75,73.72
Shadab Khan,ODI,6,84,5.27,33.0,47.16
T Natarajan,IPL,5,83,9.18,28.65,31.66
Mahmudullah,ODI,6,83,5.36,42.88,45.71
EA Perry,ODI,1,83,4.5,27.84,62.85
LMM Tahuhu,T20I,0,83,6.65,19.75,50.57
MA Starc,T20I,0,83,7.71,22.66,47.85
Hasan Ali,Test,3,83,3.02,26.66,77.44
Sikandar Raza,ODI,6,83,4.95,41.47,49.34
A Symonds,ODI,6,83,5.1,34.87,48.81
BM Scholtz,T20I,0,83,6.31,20.49,40.61
N Mlaba,T20I,0,82,6.43,20.05,44.92
MM Patel,IPL,0,82,7.46,20.71,44.8
R Bhatia,IPL,5,82,7.4,24.63,28.51
N de Klerk,ODI,1,82,5.2,26.55,56.31
GH Dockrell,T20I,0,82,6.78,18.24,35.9
AB Dinda,IPL,5,82,8.13,25.28,42.35
MJ Santner,Test,3,82,2.81,31.74,74.06
C Sutthiruang,T20I,7,82,4.52,14.84,63.41
K Kunwar,T20I,7,81,4.21,9.93,64.25
KA Jamieson,Test,1,81,2.65,19.49,80.84
KA Green,T20I,7,81,4.36,13.28,61.24
KA Pollard,IPL,5,81,8.74,26.91,28.21
Yasim Murtaza,T20I,0,81,6.43,18.77,43.55
JL Pattinson,Test,3,81,3.19,26.33,76.69
JE Root,Test,3,81,3.36,43.4,70.49
MA Starc,IPL,5,81,8.62,19.84,42.27
RP Singh,ODI,1,81,5.41,30.46,58.06
