bowler,format,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
SK Trivedi,IPL,75,1515,1944,73,528,42,9,252.5,7.7,26.63,34.85,20.75
GH Dockrell,ODI,76,3191,2677,73,1662,64,0,531.8,5.03,36.67,52.08,43.71
Shafiul Islam,ODI,58,2476,2528,73,1367,89,6,412.7,6.13,34.63,55.21,33.92
WK Dilhari,T20I,77,1326,1425,73,513,40,4,221.0,6.45,19.52,38.69,18.16
SA Okpe,T20I,72,1265,1228,73,580,23,1,210.8,5.82,16.82,45.85,17.33
L Embuldeniya,Test,17,4879,2659,73,3463,1,34,813.2,3.27,36.42,70.98,66.84
KTGD Prasad,Test,24,4144,2606,73,2898,30,47,690.7,3.77,35.7,69.93,56.77
Mahedi Hasan,T20I,67,1438,1641,73,616,26,5,239.7,6.85,22.48,42.84,19.7
Q Abel,T20I,40,818,643,73,480,31,1,136.3,4.72,8.81,58.68,11.21
KMDN Kulasekara,T20I,56,1188,1492,72,527,46,5,198.0,7.54,20.72,44.36,16.5
AD Russell,ODI,54,2273,2235,72,1181,89,19,378.8,5.9,31.04,51.96,31.57
Sana Mir,ODI,43,2251,1568,72,1360,48,3,375.2,4.18,21.78,60.42,31.26
R Ashwin,T20I,62,1384,1634,72,574,48,4,230.7,7.08,22.69,41.47,19.22
S Shillingford,Test,16,4709,2534,72,3395,0,15,784.8,3.23,35.19,72.1,65.4
Chan Ka Man,T20I,63,1271,943,72,702,18,3,211.8,4.45,13.1,55.23,17.65
Rumana Ahmed,T20I,60,1084,1019,72,457,11,1,180.7,5.64,14.15,42.16,15.06
S Akiteng,T20I,55,1223,952,72,683,38,16,203.8,4.67,13.22,55.85,16.99
MG Erasmus,T20I,61,1047,1075,72,456,37,0,174.5,6.16,14.93,43.55,14.54
P Aho,T20I,59,1094,1151,72,600,90,7,182.3,6.31,15.99,54.84,15.19
Abbas Afridi,PSL,48,937,1540,71,317,41,9,156.2,9.86,21.69,33.83,13.2
Shakib Al Hasan,IPL,70,1484,1864,71,523,31,0,247.3,7.54,26.25,35.24,20.9
JJ Smit,T20I,49,1006,1183,71,438,49,2,167.7,7.06,16.66,43.54,14.17
BMSM Kumari,T20I,81,1642,1679,71,754,53,0,273.7,6.14,23.65,45.92,23.13
DS Airee,T20I,67,1174,1216,71,508,16,2,195.7,6.21,17.13,43.27,16.54
KA Maharaj,ODI,53,2767,2217,71,1382,21,2,461.2,4.81,31.23,49.95,38.97
Junaid Khan,Test,22,4629,2338,71,3498,13,24,771.5,3.03,32.93,75.57,65.2
CW Perchard,T20I,42,894,938,71,400,22,0,149.0,6.3,13.21,44.74,12.59
JDS Neesham,ODI,71,2398,2573,71,1168,114,10,399.7,6.44,36.24,48.71,33.77
SL Malinga,Test,22,3955,2619,71,2738,23,164,659.2,3.97,36.89,69.23,55.7
NL McCullum,ODI,81,3537,2971,71,1723,33,1,589.5,5.04,41.85,48.71,49.82
LM Kasperek,T20I,44,942,1068,71,357,9,0,157.0,6.8,15.04,37.9,13.27
F Nsubuga,T20I,63,1291,1018,71,784,7,1,215.2,4.73,14.34,60.73,18.18
N Pradeep,Test,28,5161,3088,71,3672,22,84,860.2,3.59,43.49,71.15,72.69
A Nortje,Test,19,3070,1995,71,2236,20,13,511.7,3.9,28.1,72.83,43.24
KE Bryce,T20I,54,1098,905,71,624,42,0,183.0,4.95,12.75,56.83,15.46
G Matome,T20I,53,1089,793,70,714,74,6,181.5,4.37,11.33,65.56,15.56
Yasin Patel,T20I,54,1202,1218,70,594,35,0,200.3,6.08,17.4,49.42,17.17
DJ Bravo,Test,30,5466,2983,70,4059,34,37,911.0,3.27,42.61,74.26,78.09
Fahima Khatun,T20I,79,1345,1329,70,568,22,2,224.2,5.93,18.99,42.23,19.21
AAP Atkinson,Test,16,2731,1710,70,1977,19,33,455.2,3.76,24.43,72.39,39.01
SR Harmer,Test,14,3135,1561,70,2347,0,1,522.5,2.99,22.3,74.86,44.79
Shoaib Bashir,Test,18,4201,2710,69,2799,2,2,700.2,3.87,39.28,66.63,60.88
N Mlaba,ODI,53,2574,2142,69,1394,53,1,429.0,4.99,31.04,54.16,37.3
J Little,T20I,59,1323,1695,69,584,56,1,220.5,7.69,24.57,44.14,19.17
PJ Cummins,T20I,55,1216,1545,69,519,53,4,202.7,7.62,22.39,42.68,17.62
S Vijay Unni,T20I,68,1261,1313,69,567,19,2,210.2,6.25,19.03,44.96,18.28
SR Taylor,T20I,64,1166,1187,69,477,36,0,194.3,6.11,17.2,40.91,16.9
T Shadrack,T20I,53,1083,750,69,735,56,8,180.5,4.16,10.87,67.87,15.7
N Pradeep,ODI,45,2251,2320,69,1148,51,8,375.2,6.18,33.62,51.0,32.62
IDR Bradshaw,ODI,48,2465,1777,69,1553,72,19,410.8,4.33,25.75,63.0,35.72
Mahirah Izzati Ismail,T20I,54,1125,895,68,569,27,6,187.5,4.77,13.16,50.58,16.54
D van Niekerk,ODI,58,2544,1526,68,1580,31,8,424.0,3.6,22.44,62.11,37.41
D Wiese,T20I,51,1018,1212,68,414,32,0,169.7,7.14,17.82,40.67,14.97
Sajid Khan,Test,14,3294,1941,68,2289,4,0,549.0,3.54,28.54,69.49,48.44
Usama Mir,PSL,56,1179,1645,68,393,17,0,196.5,8.37,24.19,33.33,17.34
Sadia Iqbal,T20I,51,1190,1156,68,568,30,0,198.3,5.83,17.0,47.73,17.5
SM Curran,T20I,70,1251,1879,68,421,65,4,208.5,9.01,27.63,33.65,18.4
E Rukiriza,T20I,60,1106,1255,67,503,35,1,184.3,6.81,18.73,45.48,16.51
Sohail Tanvir,PSL,58,1276,1738,67,529,53,5,212.7,8.17,25.94,41.46,19.04
Kaleem Sana,T20I,42,883,938,67,491,50,5,147.2,6.37,14.0,55.61,13.18
IS Sodhi,ODI,50,2559,2374,67,1166,26,2,426.5,5.57,35.43,45.56,38.19
IKEG Artawan,T20I,73,1181,1345,67,485,39,5,196.8,6.83,20.07,41.07,17.63
O Prendergast,T20I,65,1225,1181,67,700,73,2,204.2,5.78,17.63,57.14,18.28
AF Milne,T20I,53,1142,1620,67,491,43,7,190.3,8.51,24.18,42.99,17.04
Ishtiaq Ahmad,T20I,41,886,1036,67,430,46,8,147.7,7.02,15.46,48.53,13.22
A Sutherland,ODI,48,1763,1426,67,1042,82,8,293.8,4.85,21.28,59.1,26.31
M Muralitharan,IPL,66,1530,1765,67,643,51,2,255.0,6.92,26.34,42.03,22.84
DW Steyn,T20I,46,1000,1210,67,470,44,3,166.7,7.26,18.06,47.0,14.93
WB Rankin,ODI,47,2367,1996,67,1441,122,10,394.5,5.06,29.79,60.88,35.33
JDS Neesham,T20I,73,1012,1565,67,342,42,3,168.7,9.28,23.36,33.79,15.1
CA Soper,ODI,50,2331,1774,67,1445,49,2,388.5,4.57,26.48,61.99,34.79
AJ Hosein,ODI,40,2225,1801,67,1195,39,9,370.8,4.86,26.88,53.71,33.21
MR Adair,ODI,47,2230,2179,67,1265,118,5,371.7,5.86,32.52,56.73,33.28
Shoriful Islam,T20I,54,1100,1523,67,464,42,4,183.3,8.31,22.73,42.18,16.42
D Maisuria,T20I,32,667,622,67,365,6,0,111.2,5.6,9.28,54.72,9.96
R Ngarava,ODI,45,2127,1946,66,1232,75,9,354.5,5.49,29.48,57.92,32.23
SN Thakur,ODI,45,1918,2010,66,994,70,14,319.7,6.29,30.45,51.82,29.06
SJ Harmison,ODI,46,2308,2039,66,1397,139,25,384.7,5.3,30.89,60.53,34.97
JR Hazlewood,IPL,45,1010,1433,66,452,25,2,168.3,8.51,21.71,44.75,15.3
MG Johnson,IPL,54,1244,1740,66,557,57,9,207.3,8.39,26.36,44.77,18.85
SW Tait,ODI,34,1708,1533,66,1045,125,20,284.7,5.39,23.23,61.18,25.88
JO Holder,IPL,50,1093,1601,66,380,54,3,182.2,8.79,24.26,34.77,16.56
MN Samuels,ODI,98,3633,2952,66,1812,59,1,605.5,4.88,44.73,49.88,55.05
CB Mpofu,ODI,64,3030,2898,66,1711,128,3,505.0,5.74,43.91,56.47,45.91
NM Hauritz,Test,17,4253,2286,65,3168,2,52,708.8,3.23,35.17,74.49,65.43
SCJ Broad,T20I,54,1164,1521,65,506,29,9,194.0,7.84,23.4,43.47,17.91
DE Bollinger,ODI,39,1964,1530,65,1205,51,23,327.3,4.67,23.54,61.35,30.22
A Mishra,ODI,31,1781,1442,65,985,24,8,296.8,4.86,22.18,55.31,27.4
E Bisht,ODI,36,1957,1293,65,1206,13,3,326.2,3.96,19.89,61.62,30.11
P Vastrakar,T20I,66,1172,1272,65,581,46,6,195.3,6.51,19.57,49.57,18.03
DJS Dottin,T20I,47,837,1026,65,379,76,9,139.5,7.35,15.78,45.28,12.88
LM Jongwe,T20I,52,939,1339,65,288,42,9,156.5,8.56,20.6,30.67,14.45
Mohammad Hafeez,T20I,78,1238,1386,65,490,26,1,206.3,6.72,21.32,39.58,19.05
Poonam Yadav,ODI,49,2579,1773,65,1451,21,1,429.8,4.12,27.28,56.26,39.68
BJ McCarthy,T20I,59,1267,1847,65,481,65,6,211.2,8.75,28.42,37.96,19.49
S Thakor,T20I,51,967,907,64,504,31,1,161.2,5.63,14.17,52.12,15.11
JA Diergaardt,T20I,62,1058,1007,64,526,61,9,176.3,5.71,15.73,49.72,16.53
B Kumar,Test,21,3351,1716,64,2624,12,3,558.5,3.07,26.81,78.3,52.36
J Little,ODI,39,1993,2115,64,1034,77,14,332.2,6.37,33.05,51.88,31.14
SR Magar,T20I,54,1034,831,64,520,34,3,172.3,4.82,12.98,50.29,16.16
TL Chatara,T20I,53,1136,1403,64,513,41,5,189.3,7.41,21.92,45.16,17.75
Rishad Hossain,T20I,50,1020,1406,64,387,15,0,170.0,8.27,21.97,37.94,15.94
Ravi Bishnoi,T20I,40,925,1152,64,402,37,3,154.2,7.47,18.0,43.46,14.45
A Ikuzwe,T20I,53,977,810,64,566,52,1,162.8,4.97,12.66,57.93,15.27
NR Sciver,ODI,73,2385,1859,64,1375,84,3,397.5,4.68,29.05,57.65,37.27
LN Oluoch,T20I,56,1000,1223,64,488,62,6,166.7,7.34,19.11,48.8,15.62
AU Rashid,Test,18,3818,2455,64,2462,0,2,636.3,3.86,38.36,64.48,59.66
Diana Baig,ODI,64,2680,2327,64,1596,118,13,446.7,5.21,36.36,59.55,41.88
A Dutt,ODI,50,2439,1985,64,1437,26,1,406.5,4.88,31.02,58.92,38.11
K Fraser,T20I,51,975,887,64,479,22,1,162.5,5.46,13.86,49.13,15.23
Zahoor Khan,T20I,46,1013,1184,64,385,40,8,168.8,7.01,18.5,38.01,15.83
NL McCullum,T20I,59,1123,1291,63,408,14,0,187.2,6.9,20.49,36.33,17.83
P Maya,T20I,64,923,882,63,517,54,12,153.8,5.73,14.0,56.01,14.65
A Nortje,IPL,49,1128,1740,63,453,41,8,188.0,9.26,27.62,40.16,17.9
IK Gamantika,T20I,58,1042,1045,63,462,26,3,173.7,6.02,16.59,44.34,16.54
CE Dean,T20I,44,943,1096,63,406,27,1,157.2,6.97,17.4,43.05,14.97
N de Klerk,T20I,70,1265,1631,63,481,59,8,210.8,7.74,25.89,38.02,20.08
XJ Doherty,ODI,55,2746,2212,63,1402,27,1,457.7,4.83,35.11,51.06,43.59
M Wai Siu,T20I,56,1046,860,63,634,75,2,174.3,4.93,13.65,60.61,16.6
