bowler,format,matches,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate
Mahbubul Alam,Test,3,372,209,4,285,0,1,62.0,3.37,52.25,76.61,93.0
Maham Tariq,ODI,4,180,206,4,84,8,0,30.0,6.87,51.5,46.67,45.0
Maahi Madhavan,ODI,2,90,76,4,48,0,0,15.0,5.07,19.0,53.33,22.5
IECM Wong,ODI,3,114,122,4,65,4,0,19.0,6.42,30.5,57.02,28.5
A Phillip,ODI,5,195,210,4,97,6,0,32.5,6.46,52.5,49.74,48.75
E Richard,T20I,6,80,89,4,50,19,0,13.3,6.68,22.25,62.5,20.0
B Maximo,T20I,3,66,81,4,28,19,6,11.0,7.36,20.25,42.42,16.5
R Thapliyal,T20I,3,66,97,4,24,2,0,11.0,8.82,24.25,36.36,16.5
Khalander Mustafa,T20I,2,42,55,4,24,5,0,7.0,7.86,13.75,57.14,10.5
Khaibar Deldar,T20I,5,74,123,4,27,8,2,12.3,9.97,30.75,36.49,18.5
KV Sharma,Test,1,294,238,4,170,0,0,49.0,4.86,59.5,57.82,73.5
RJ Harris,T20I,3,70,95,4,28,2,0,11.7,8.14,23.75,40.0,17.5
B Mahesh,T20I,5,85,117,4,42,11,1,14.2,8.26,29.25,49.41,21.25
B Laughlin,ODI,5,224,221,4,115,5,0,37.3,5.92,55.25,51.34,56.0
C Floyd,ODI,9,379,321,4,185,2,1,63.2,5.08,80.25,48.81,94.75
E Ochieng,T20I,6,114,166,4,43,4,0,19.0,8.74,41.5,37.72,28.5
Kamran Shazad,ODI,2,103,104,4,56,2,1,17.2,6.06,26.0,54.37,25.75
B Biza,ODI,12,302,255,4,158,12,1,50.3,5.07,63.75,52.32,75.5
RL Powell,ODI,9,180,183,4,76,9,0,30.0,6.1,45.75,42.22,45.0
IM Vaghela,ODI,6,248,221,4,154,32,2,41.3,5.35,55.25,62.1,62.0
IGTP Wiguna,T20I,7,97,130,4,44,3,1,16.2,8.04,32.5,45.36,24.25
Gurjapneet Singh,IPL,6,109,168,4,35,4,0,18.2,9.25,42.0,32.11,27.25
Manpreet Singh,T20I,13,211,299,4,74,6,1,35.2,8.5,74.75,35.07,52.75
V Shankar,ODI,9,233,212,4,116,8,0,38.8,5.46,53.0,49.79,58.25
V Ravindran,T20I,2,40,21,4,24,0,0,6.7,3.15,5.25,60.0,10.0
V Marghashayam,T20I,4,60,102,4,22,0,0,10.0,10.2,25.5,36.67,15.0
E Vukusic,T20I,4,98,73,4,66,5,2,16.3,4.47,18.25,67.35,24.5
KT Maphaka,Test,2,261,185,4,172,2,1,43.5,4.25,46.25,65.9,65.25
RK Parwin,T20I,2,48,38,4,26,2,0,8.0,4.75,9.5,54.17,12.0
C Jennings,T20I,3,67,66,4,36,9,1,11.2,5.91,16.5,53.73,16.75
RJG Palmer,T20I,6,102,103,4,45,2,0,17.0,6.06,25.75,44.12,25.5
B Jerkovic,T20I,5,55,100,4,11,2,1,9.2,10.91,25.0,20.0,13.75
Kamal Raiz,T20I,3,61,50,4,35,0,1,10.2,4.92,12.5,57.38,15.25
KR Frost,T20I,3,60,37,4,39,5,0,10.0,3.7,9.25,65.0,15.0
KR Ebanks,T20I,8,115,178,4,38,7,1,19.2,9.29,44.5,33.04,28.75
RP Lefebvre,ODI,4,192,126,4,119,7,0,32.0,3.94,31.5,61.98,48.0
IT Guha,ODI,3,121,65,4,96,6,1,20.2,3.22,16.25,79.34,30.25
UDU Chandana,Test,3,634,378,4,457,0,1,105.7,3.58,94.5,72.08,158.5
DA Warner,Test,17,343,276,4,197,1,1,57.2,4.83,69.0,57.43,85.75
Tilak Varma,T20I,7,57,56,4,26,1,0,9.5,5.89,14.0,45.61,14.25
A Sharma,ODI,8,264,183,4,185,9,0,44.0,4.16,45.75,70.08,66.0
A Shahzad,Test,1,102,63,4,72,1,0,17.0,3.71,15.75,70.59,25.5
KS Gautam,ODI,6,266,270,4,129,2,0,44.3,6.09,67.5,48.5,66.5
M Kanno,T20I,6,97,85,4,51,6,1,16.2,5.26,21.25,52.58,24.25
RML Taylor,T20I,7,114,160,4,41,2,0,19.0,8.42,40.0,35.96,28.5
RTM Mendis,ODI,3,72,74,4,32,5,0,12.0,6.17,18.5,44.44,18.0
EJB Miles,ODI,3,120,117,4,63,0,0,20.0,5.85,29.25,52.5,30.0
RS Higgins,ODI,3,158,128,4,71,0,0,26.3,4.86,32.0,44.94,39.5
Tapash Baisya,Test,5,640,457,4,448,6,5,106.7,4.28,114.25,70.0,160.0
Tanvir Islam,T20I,6,102,140,4,41,1,0,17.0,8.24,35.0,40.2,25.5
Tamoor Sajjad,T20I,6,125,155,4,45,1,0,20.8,7.44,38.75,36.0,31.25
Mariam Hasan,T20I,2,42,23,4,22,3,0,7.0,3.29,5.75,52.38,10.5
D Forrester,PSL,5,35,72,4,7,2,1,5.8,12.34,18.0,20.0,8.75
GSNFG Jayasuriya,T20I,11,137,213,4,38,1,0,22.8,9.33,53.25,27.74,34.25
A Zimunu,T20I,10,162,192,4,82,14,0,27.0,7.11,48.0,50.62,40.5
AA Paradkar,T20I,3,54,72,4,20,1,0,9.0,8.0,18.0,37.04,13.5
C Outerbridge,T20I,4,54,51,4,27,3,0,9.0,5.67,12.75,50.0,13.5
RR Simmonds,T20I,2,30,40,4,12,2,0,5.0,8.0,10.0,40.0,7.5
RR Sarwan,Test,16,722,486,4,448,5,1,120.3,4.04,121.5,62.05,180.5
KO Meth,Test,2,324,102,4,268,0,0,54.0,1.89,25.5,82.72,81.0
Azri Azhar,T20I,8,101,116,4,48,10,1,16.8,6.89,29.0,47.52,25.25
Rahim Khan,T20I,4,78,61,4,28,0,0,13.0,4.69,15.25,35.9,19.5
Rachel Delaney,T20I,9,100,114,4,45,4,1,16.7,6.84,28.5,45.0,25.0
Imran Khan (2),PSL,3,64,101,4,19,0,0,10.7,9.47,25.25,29.69,16.0
D Ajekun,T20I,7,73,89,4,27,1,0,12.2,7.32,22.25,36.99,18.25
Md Shuayeb,T20I,4,36,50,4,14,2,0,6.0,8.33,12.5,38.89,9.0
Mazharul Islam,T20I,6,83,98,4,31,0,0,13.8,7.08,24.5,37.35,20.75
Matiullah Khan,T20I,5,99,152,4,38,5,3,16.5,9.21,38.0,38.38,24.75
GJ Whittall,ODI,5,135,121,4,75,2,0,22.5,5.38,30.25,55.56,33.75
TMM Newton,T20I,3,54,50,4,27,4,0,9.0,5.56,12.5,50.0,13.5
GMK Jayaweera,T20I,3,21,33,4,11,0,1,3.5,9.43,8.25,52.38,5.25
Raag Kapur,T20I,5,72,90,4,25,2,0,12.0,7.5,22.5,34.72,18.0
KL George,ODI,2,75,71,4,45,7,0,12.5,5.68,17.75,60.0,18.75
C Munro,T20I,12,118,186,4,27,1,0,19.7,9.46,46.5,22.88,29.5
NS Dhaliwal,T20I,6,60,61,4,31,1,0,10.0,6.1,15.25,51.67,15.0
NR Kirton,T20I,7,54,97,4,16,0,0,9.0,10.78,24.25,29.63,13.5
NR Kirton,ODI,7,132,107,4,63,2,0,22.0,4.86,26.75,47.73,33.0
Azhar Ali,ODI,14,258,262,4,102,6,0,43.0,6.09,65.5,39.53,64.5
Ayesha Zafar,T20I,2,30,34,4,13,1,0,5.0,6.8,8.5,43.33,7.5
Rohan Bhavesh Patel,T20I,4,66,83,4,23,1,0,11.0,7.55,20.75,34.85,16.5
KJ Patel,T20I,5,109,113,4,43,1,0,18.2,6.22,28.25,39.45,27.25
Asif Iqbal,T20I,2,30,42,4,8,0,0,5.0,8.4,10.5,26.67,7.5
Isa Zaroo,T20I,3,54,91,4,20,2,0,9.0,10.11,22.75,37.04,13.5
AC Cummins,ODI,4,186,181,4,101,17,6,31.0,5.84,45.25,54.3,46.5
TL Chivanga,ODI,4,177,187,4,101,12,2,29.5,6.34,46.75,57.06,44.25
Merwais Shinwari,T20I,3,42,61,4,18,5,0,7.0,8.71,15.25,42.86,10.5
Meghna Singh,T20I,9,111,153,4,52,1,0,18.5,8.27,38.25,46.85,27.75
TKP Rajapaksha,T20I,6,96,138,4,31,8,0,16.0,8.62,34.5,32.29,24.0
J Daley,T20I,2,37,32,4,25,1,1,6.2,5.19,8.0,67.57,9.25
Taher Muhammad,T20I,10,144,246,4,37,4,2,24.0,10.25,61.5,25.69,36.0
Irfan Ahmed,ODI,3,150,145,4,89,4,0,25.0,5.8,36.25,59.33,37.5
NND de Silva,ODI,14,331,294,4,189,20,1,55.2,5.33,73.5,57.1,82.75
C Roberts,T20I,4,37,60,4,16,1,1,6.2,9.73,15.0,43.24,9.25
C Pavely,T20I,2,48,60,4,18,0,0,8.0,7.5,15.0,37.5,12.0
ET Williams,T20I,5,95,101,4,51,8,2,15.8,6.38,25.25,53.68,23.75
KK Dobell,T20I,3,42,47,4,25,10,0,7.0,6.71,11.75,59.52,10.5
Elias Tilman,T20I,8,109,176,4,32,24,1,18.2,9.69,44.0,29.36,27.25
KD Mehta,T20I,2,42,43,4,21,1,0,7.0,6.14,10.75,50.0,10.5
S Borakambi,T20I,3,57,45,4,27,5,1,9.5,4.74,11.25,47.37,14.25
S Bhanushali,T20I,3,48,57,4,20,2,0,8.0,7.12,14.25,41.67,12.0
AE Smith,ODI,3,108,51,4,88,7,0,18.0,2.83,12.75,81.48,27.0
GJ Batty,ODI,5,252,184,4,118,2,0,42.0,4.38,46.0,46.83,63.0
J Drysdale,ODI,4,132,101,4,89,7,0,22.0,4.59,25.25,67.42,33.0
MEK Hussey,ODI,13,240,237,4,116,9,0,40.0,5.93,59.25,48.33,60.0
MEC de Fouw,T20I,3,64,75,4,28,4,0,10.7,7.03,18.75,43.75,16.0
MEC de Fouw,ODI,2,120,69,4,82,2,0,20.0,3.45,17.25,68.33,30.0
TB Sole,T20I,5,102,111,4,35,2,0,17.0,6.53,27.75,34.31,25.5
AC Septien,T20I,3,61,40,4,46,12,1,10.2,3.93,10.0,75.41,15.25
Ismaila Tanba,T20I,5,60,99,4,23,3,0,10.0,9.9,24.75,38.33,15.0
S Banamali,T20I,5,95,153,4,33,5,0,15.8,9.66,38.25,34.74,23.75
S Badree,PSL,7,156,194,4,60,2,0,26.0,7.46,48.5,38.46,39.0
M Mani,ODI,3,120,129,4,42,3,0,20.0,6.45,32.25,35.0,30.0
C Smith,T20I,5,83,91,4,33,4,1,13.8,6.58,22.75,39.76,20.75
KE Pike,ODI,1,60,25,4,51,0,0,10.0,2.5,6.25,85.0,15.0
KE Ebrahim,ODI,4,108,83,4,62,2,0,18.0,4.61,20.75,57.41,27.0
Rudolph Fox,T20I,6,81,99,4,32,4,0,13.5,7.33,24.75,39.51,20.25
Ehsan Adil,ODI,6,226,229,4,119,3,1,37.7,6.08,57.25,52.65,56.5
Ashfaq Ahmed,ODI,6,199,166,4,98,0,0,33.2,5.01,41.5,49.25,49.75
Arjun Tendulkar,IPL,5,74,117,4,33,9,1,12.3,9.49,29.25,44.59,18.5
Arish Ali,PSL,2,42,64,4,18,1,0,7.0,9.14,16.0,42.86,10.5
Archara Supriya,T20I,5,53,48,4,23,3,2,8.8,5.43,12.0,43.4,13.25
T Tumursukh,T20I,7,105,180,4,24,12,3,17.5,10.29,45.0,22.86,26.25
J Kominkova,T20I,10,150,187,4,62,36,18,25.0,7.48,46.75,41.33,37.5
J Kgang,T20I,4,53,42,4,34,6,0,8.8,4.75,10.5,64.15,13.25
T Stubbs,IPL,5,36,69,4,12,1,0,6.0,11.5,17.25,33.33,9.0
J Blackwood,Test,17,454,274,4,300,0,0,75.7,3.62,68.5,66.08,113.5
TE Kane,T20I,3,49,67,4,18,2,0,8.2,8.2,16.75,36.73,12.25
T Natarajan,ODI,2,121,144,4,59,11,1,20.2,7.14,36.0,48.76,30.25
Mohammad Ahsan,T20I,3,54,94,4,14,1,0,9.0,10.44,23.5,25.93,13.5
J Glasgow,T20I,7,69,79,4,36,4,0,11.5,6.87,19.75,52.17,17.25
J Ghadiyali,T20I,4,59,56,4,31,1,0,9.8,5.69,14.0,52.54,14.75
T Yotharat,T20I,5,62,59,4,28,3,2,10.3,5.71,14.75,45.16,15.5
S Dhawan,IPL,6,48,72,4,20,1,0,8.0,9.0,18.0,41.67,12.0
S Dhakal,ODI,7,229,149,4,133,0,0,38.2,3.9,37.25,58.08,57.25
Asad Mohammad,T20I,7,110,132,4,39,1,2,18.3,7.2,33.0,35.45,27.5
NKDP Putri,T20I,4,77,20,4,67,5,0,12.8,1.56,5.0,87.01,19.25
C van der Westhuizen,ODI,2,90,35,4,71,2,0,15.0,2.33,8.75,78.89,22.5
S Joseph,ODI,6,253,274,4,127,15,2,42.2,6.5,68.5,50.2,63.25
S Jeelany,T20I,4,33,27,4,17,5,0,5.5,4.91,6.75,51.52,8.25
DJM Short,T20I,9,114,152,4,30,1,0,19.0,8.0,38.0,26.32,28.5
KA Jamieson,PSL,2,42,64,4,20,0,0,7.0,9.14,16.0,47.62,10.5
Arshad Iqbal,T20I,3,54,53,4,27,3,0,9.0,5.89,13.25,50.0,13.5
KC D'Souza,T20I,5,86,84,4,42,6,2,14.3,5.86,21.0,48.84,21.5
KAR Hodge,Test,6,264,199,4,146,0,0,44.0,4.52,49.75,55.3,66.0
K Sathish,T20I,4,60,74,4,18,1,0,10.0,7.4,18.5,30.0,15.0
K Samten,T20I,5,105,80,4,48,4,0,17.5,4.57,20.0,45.71,26.25
Ankit Soni,IPL,6,109,145,4,38,3,0,18.2,7.98,36.25,34.86,27.25
T Basile,T20I,2,15,7,4,13,3,0,2.5,2.8,1.75,86.67,3.75
J Overton,Test,2,452,326,4,308,7,2,75.3,4.33,81.5,68.14,113.0
DB Lakhani,T20I,3,33,43,4,15,3,1,5.5,7.82,10.75,45.45,8.25
MD Dai,T20I,7,126,121,4,46,0,0,21.0,5.76,30.25,36.51,31.5
MD Bates,T20I,3,66,108,4,20,1,0,11.0,9.82,27.0,30.3,16.5
CV Harrison,T20I,4,76,119,4,27,8,4,12.7,9.39,29.75,35.53,19.0
Mohammad Asaduzzaman,T20I,7,138,177,4,50,11,0,23.0,7.7,44.25,36.23,34.5
Mohammad Amir Khan,PSL,9,145,244,4,42,2,1,24.2,10.1,61.0,28.97,36.25
J Matharu,T20I,5,78,125,4,24,5,0,13.0,9.62,31.25,30.77,19.5
J Liyanage,ODI,16,350,311,4,162,15,0,58.3,5.33,77.75,46.29,87.5
Anjuli Ghalley,T20I,7,100,77,4,57,7,4,16.7,4.62,19.25,57.0,25.0
NJ Astle,T20I,2,41,51,4,15,0,0,6.8,7.46,12.75,36.59,10.25
NE Farrant,ODI,5,211,179,4,128,7,0,35.2,5.09,44.75,60.66,52.75
S Nadigotla,T20I,4,62,71,4,28,4,0,10.3,6.87,17.75,45.16,15.5
F Clarke,T20I,4,78,96,4,31,9,0,13.0,7.38,24.0,39.74,19.5
Surinder Singh,T20I,5,85,139,4,27,7,1,14.2,9.81,34.75,31.76,21.25
Sumaiya Siddiqi,ODI,6,234,166,4,145,9,0,39.0,4.26,41.5,61.97,58.5
Chado Om,T20I,3,48,53,4,17,4,0,8.0,6.62,13.25,35.42,12.0
Suhrawadi Shuvo,Test,1,297,150,4,208,0,0,49.5,3.03,37.5,70.03,74.25
Suhail Sattar,T20I,7,79,128,4,21,13,1,13.2,9.72,32.0,26.58,19.75
T Hanum,T20I,2,35,31,4,16,2,0,5.8,5.31,7.75,45.71,8.75
T Gwandu,Test,2,220,224,4,117,0,4,36.7,6.11,56.0,53.18,55.0
T Filer,T20I,2,26,26,4,10,0,0,4.3,6.0,6.5,38.46,6.5
T Dlamini,T20I,11,179,221,4,85,55,6,29.8,7.41,55.25,47.49,44.75
K Oala,T20I,6,84,81,4,37,6,0,14.0,5.79,20.25,44.05,21.0
S Malwatta,T20I,3,27,29,4,14,2,0,4.5,6.44,7.25,51.85,6.75
CA Numungu,T20I,1,24,8,4,21,1,0,4.0,2.0,2.0,87.5,6.0
NA Saini,Test,2,257,172,4,177,0,6,42.8,4.02,43.0,68.87,64.25
K Sinclair,T20I,6,108,151,4,25,1,0,18.0,8.39,37.75,23.15,27.0
K Dorji,T20I,4,71,114,4,21,5,1,11.8,9.63,28.5,29.58,17.75
S Sharma,Test,1,108,34,4,96,1,0,18.0,1.89,8.5,88.89,27.0
S Sengupta,T20I,5,96,160,4,36,9,0,16.0,10.0,40.0,37.5,24.0
K Lake,T20I,5,66,61,4,43,11,0,11.0,5.55,15.25,65.15,16.5
GC Viljoen,PSL,5,90,141,4,30,5,0,15.0,9.4,35.25,33.33,22.5
JA Clarkson,ODI,6,126,130,4,59,6,0,21.0,6.19,32.5,46.83,31.5
J van Heerden,T20I,2,43,58,4,15,3,1,7.2,8.09,14.5,34.88,10.75
J Wilson,T20I,5,93,170,4,32,4,0,15.5,10.97,42.5,34.41,23.25
Mohammad Mohsin,T20I,4,72,72,4,31,0,0,12.0,6.0,18.0,43.06,18.0
Mohammad Imran (2),PSL,6,138,172,4,53,1,0,23.0,7.48,43.0,38.41,34.5
AJ Turner,T20I,6,78,83,4,36,5,0,13.0,6.38,20.75,46.15,19.5
K Kapadia,T20I,10,102,82,4,62,6,0,17.0,4.82,20.5,60.78,25.5
Amir Zaib,T20I,6,52,80,4,20,2,0,8.7,9.23,20.0,38.46,13.0
NA Maiolo,T20I,4,97,92,4,46,2,1,16.2,5.69,23.0,47.42,24.25
M Mwamadi,T20I,4,62,76,4,22,4,0,10.3,7.35,19.0,35.48,15.5
K Macheka,T20I,2,41,60,4,23,2,2,6.8,8.78,15.0,56.1,10.25
K Modise,T20I,2,30,41,4,13,0,0,5.0,8.2,10.25,43.33,7.5
S Namusha,T20I,6,120,48,4,90,6,0,20.0,2.4,12.0,75.0,30.0
FC Leydon-Davis,T20I,2,48,40,4,20,1,0,8.0,5.0,10.0,41.67,12.0
K Canavarci,T20I,8,130,158,4,58,27,4,21.7,7.29,39.5,44.62,32.5
GD Elliott,Test,4,282,151,4,220,0,0,47.0,3.21,37.75,78.01,70.5
DE Bernard,Test,2,199,126,4,142,1,7,33.2,3.8,31.5,71.36,49.75
MA Parker,T20I,3,61,66,4,33,3,1,10.2,6.49,16.5,54.1,15.25
JAR Blain,T20I,3,72,64,4,36,1,0,12.0,5.33,16.0,50.0,18.0
J Srinath,Test,1,198,97,4,151,0,0,33.0,2.94,24.25,76.26,49.5
GF Linde,ODI,4,151,142,4,72,1,1,25.2,5.64,35.5,47.68,37.75
Soumya Sarkar,Test,10,486,311,4,332,3,2,81.0,3.84,77.75,68.31,121.5
Sohail Ahmed,T20I,9,116,155,4,46,2,0,19.3,8.02,38.75,39.66,29.0
Ameer Saiyed,T20I,6,70,105,4,24,2,0,11.7,9.0,26.25,34.29,17.5
S Tabuisulu,T20I,6,115,151,4,47,7,0,19.2,7.88,37.75,40.87,28.75
DJ Muthuswami,IPL,6,84,108,4,47,0,0,14.0,7.71,27.0,55.95,21.0
DJ Mitchell,Test,21,778,404,4,570,2,3,129.7,3.12,101.0,73.26,194.5
CAH Stevenson,T20I,4,72,101,4,25,2,0,12.0,8.42,25.25,34.72,18.0
K Goud,T20I,9,168,239,4,66,9,0,28.0,8.54,59.75,39.29,42.0
Jubair Hossain,ODI,3,115,115,4,52,0,1,19.2,6.0,28.75,45.22,28.75
FL Patel,T20I,7,96,124,4,50,13,0,16.0,7.75,31.0,52.08,24.0
FL Albanjari,T20I,2,20,8,4,14,1,0,3.3,2.4,2.0,70.0,5.0
SA Campbelle,ODI,6,174,130,4,108,21,0,29.0,4.48,32.5,62.07,43.5
Mohammad Talha,ODI,3,123,147,4,57,3,1,20.5,7.17,36.75,46.34,30.75
CP Schofield,T20I,4,77,92,4,29,1,0,12.8,7.17,23.0,37.66,19.25
JC Balt,T20I,10,164,189,4,60,3,0,27.3,6.91,47.25,36.59,41.0
Shashank Singh,IPL,6,60,91,4,15,2,0,10.0,9.1,22.75,25.0,15.0
Sohag Gazi,T20I,10,210,303,4,77,5,0,35.0,8.66,75.75,36.67,52.5
Shruti Yadav,T20I,6,102,127,4,40,8,0,17.0,7.47,31.75,39.22,25.5
CE McConchie,ODI,5,168,136,4,77,1,0,28.0,4.86,34.0,45.83,42.0
CD Mboe,T20I,2,36,21,4,27,5,0,6.0,3.5,5.25,75.0,9.0
M Prasanna,T20I,4,80,131,4,22,3,2,13.3,9.82,32.75,27.5,20.0
M Podosky,T20I,5,117,142,4,36,2,3,19.5,7.28,35.5,30.77,29.25
S Tyagi,ODI,4,166,146,4,102,3,1,27.7,5.28,36.5,61.45,41.5
Akif Raja,ODI,5,230,175,4,148,4,2,38.3,4.57,43.75,64.35,57.5
Faisal Khan,T20I,10,96,157,4,33,2,0,16.0,9.81,39.25,34.38,24.0
Javeria Khan,T20I,3,42,38,4,20,1,0,7.0,5.43,9.5,47.62,10.5
GA Lamb,T20I,5,73,80,4,32,2,0,12.2,6.58,20.0,43.84,18.25
G Wijekoon,T20I,3,66,101,4,15,2,0,11.0,9.18,25.25,22.73,16.5
Mohammed Alamgir,T20I,6,67,102,4,25,5,1,11.2,9.13,25.5,37.31,16.75
CM Wright,T20I,2,30,49,4,10,1,0,5.0,9.8,12.25,33.33,7.5
CM McBride,ODI,9,180,138,4,105,13,0,30.0,4.6,34.5,58.33,45.0
Shafiullah Zakhel,T20I,4,78,122,4,34,0,0,13.0,9.38,30.5,43.59,19.5
Shivam Sharma,IPL,5,114,165,4,37,0,0,19.0,8.68,41.25,32.46,28.5
Sheraz Sirwari,T20I,5,99,127,4,44,2,0,16.5,7.7,31.75,44.44,24.75
JD Bhatt,T20I,2,36,57,4,16,1,0,6.0,9.5,14.25,44.44,9.0
JC Molina,T20I,2,37,20,4,30,3,1,6.2,3.24,5.0,81.08,9.25
Joginder Sharma,T20I,4,87,143,4,31,4,0,14.5,9.86,35.75,35.63,21.75
Jitin Singh,T20I,3,27,48,4,9,0,1,4.5,10.67,12.0,33.33,6.75
N Ndzeute,T20I,3,60,79,4,29,1,0,10.0,7.9,19.75,48.33,15.0
SG Satghare,ODI,3,138,112,4,92,10,0,23.0,4.87,28.0,66.67,34.5
SG Borthwick,Test,1,78,82,4,36,0,0,13.0,6.31,20.5,46.15,19.5
Jaskaran Singh,ODI,3,154,140,4,87,19,4,25.7,5.45,35.0,56.49,38.5
Jannatul Ferdus,T20I,3,66,88,4,29,0,0,11.0,8.0,22.0,43.94,16.5
Shafali Verma,ODI,7,156,137,4,64,3,0,26.0,5.27,34.25,41.03,39.0
Momin Qamar,PSL,4,72,114,4,21,1,0,12.0,9.5,28.5,29.17,18.0
MA Aponso,T20I,3,60,79,4,21,0,0,10.0,7.9,19.75,35.0,15.0
JG Bethell,Test,4,238,166,4,144,1,0,39.7,4.18,41.5,60.5,59.5
G Sultana,T20I,10,209,225,4,88,2,0,34.8,6.46,56.25,42.11,52.25
Sareer Shah,T20I,6,126,197,4,48,8,0,21.0,9.38,49.25,38.1,31.5
AN Hyobeom,T20I,6,67,87,4,25,8,1,11.2,7.79,21.75,37.31,16.75
AN Davidson-Richards,T20I,6,72,90,4,27,6,0,12.0,7.5,22.5,37.5,18.0
N Mamba,T20I,9,103,126,4,42,16,1,17.2,7.34,31.5,40.78,25.75
N M'shangwe,T20I,5,97,142,4,29,5,1,16.2,8.78,35.5,29.9,24.25
SDJJ Dima,T20I,4,84,121,4,25,0,0,14.0,8.64,30.25,29.76,21.0
SD Parry,T20I,5,96,138,4,29,0,0,16.0,8.62,34.5,30.21,24.0
SD Parry,ODI,2,114,94,4,64,2,0,19.0,4.95,23.5,56.14,28.5
Aleena Khan,T20I,12,175,211,4,65,7,3,29.2,7.23,52.75,37.14,43.75
JW Hastings,PSL,3,60,78,4,25,1,0,10.0,7.8,19.5,41.67,15.0
AS Luseno,ODI,2,64,58,4,40,4,4,10.7,5.44,14.5,62.5,16.0
G Mubiru,T20I,3,54,48,4,25,0,0,9.0,5.33,12.0,46.3,13.5
G Morales,T20I,3,61,44,4,48,12,1,10.2,4.33,11.0,78.69,15.25
G Onions,ODI,4,204,189,4,125,11,0,34.0,5.56,47.25,61.27,51.0
JEA Doctora,T20I,5,45,65,4,15,3,1,7.5,8.67,16.25,33.33,11.25
AR Adams,T20I,4,77,108,4,32,1,0,12.8,8.42,27.0,41.56,19.25
N Kayani,T20I,2,26,26,4,14,8,2,4.3,6.0,6.5,53.85,6.5
N Jagadish,T20I,5,85,84,4,49,13,1,14.2,5.93,21.0,57.65,21.25
CJ Gannon,T20I,3,55,68,4,21,2,1,9.2,7.42,17.0,38.18,13.75
SH Lewis,ODI,1,59,67,4,25,3,0,9.8,6.81,16.75,42.37,14.75
SG Whittingham,T20I,3,60,79,4,22,4,0,10.0,7.9,19.75,36.67,15.0
SG Satghare,Test,1,124,57,4,94,0,0,20.7,2.76,14.25,75.81,31.0
Farzan Afzal,T20I,3,72,46,4,36,2,0,12.0,3.83,11.5,50.0,18.0
Muhammad Kashif,T20I,5,77,121,4,28,1,0,12.8,9.43,30.25,36.36,19.25
Saim Ayub,Test,4,148,143,4,67,0,0,24.7,5.8,35.75,45.27,37.0
AY Karim,ODI,4,140,69,4,97,1,0,23.3,2.96,17.25,69.29,35.0
Sarandeep Singh,Test,1,127,57,4,96,0,1,21.2,2.69,14.25,75.59,31.75
Saqlain Mushtaq,ODI,4,166,132,4,96,0,6,27.7,4.77,33.0,57.83,41.5
Saqib Zulfiqar,T20I,6,78,83,4,29,0,0,13.0,6.38,20.75,37.18,19.5
Saqib Anwar,T20I,4,73,89,4,37,4,1,12.2,7.32,22.25,50.68,18.25
JW Chilia,T20I,8,170,181,4,79,3,0,28.3,6.39,45.25,46.47,42.5
Aiman Anwer,ODI,8,264,189,4,180,11,0,44.0,4.3,47.25,68.18,66.0
Aimal Khan,PSL,5,90,178,4,28,3,0,15.0,11.87,44.5,31.11,22.5
N Deonarine,ODI,16,394,368,4,159,5,1,65.7,5.6,92.0,40.36,98.5
N Davidovic,T20I,2,42,53,4,17,3,0,7.0,7.57,13.25,40.48,10.5
M Tilau,T20I,2,42,49,4,19,3,0,7.0,7.0,12.25,45.24,10.5
M Theekshana,PSL,3,72,99,4,23,1,0,12.0,8.25,24.75,31.94,18.0
M Smit,ODI,5,144,139,4,58,7,0,24.0,5.79,34.75,40.28,36.0
Jai Prakash Yadav,ODI,5,186,157,4,98,0,0,31.0,5.06,39.25,52.69,46.5
SM Benade,T20I,4,90,77,4,58,6,0,15.0,5.13,19.25,64.44,22.5
SM Benade,ODI,3,100,43,4,80,11,0,16.7,2.58,10.75,80.0,25.0
Ahmed Safi Abdullah,PSL,3,48,69,4,18,0,0,8.0,8.62,17.25,37.5,12.0
Ahmed Hassan,T20I,2,48,49,4,28,4,0,8.0,6.12,12.25,58.33,12.0
Muhammad Shahdad,ODI,7,201,191,4,85,2,0,33.5,5.7,47.75,42.29,50.25
M Whelan,T20I,8,96,191,4,28,8,0,16.0,11.94,47.75,29.17,24.0
SYD Chan,T20I,6,105,97,4,58,16,3,17.5,5.54,24.25,55.24,26.25
JJC Lawson,ODI,4,217,216,4,125,8,7,36.2,5.97,54.0,57.6,54.25
SL Kalis,T20I,3,63,47,4,32,5,3,10.5,4.48,11.75,50.79,15.75
M Shumba,T20I,5,72,103,4,23,1,0,12.0,8.58,25.75,31.94,18.0
Aftab Ahmed,Test,6,230,157,4,147,1,0,38.3,4.1,39.25,63.91,57.5
Aftab Ahmed,ODI,18,402,379,4,166,9,0,67.0,5.66,94.75,41.29,100.5
JS Kundi,T20I,9,78,94,4,25,0,0,13.0,7.23,23.5,32.05,19.5
DF Jacobs,T20I,2,30,26,4,16,0,0,5.0,5.2,6.5,53.33,7.5
SM Harwood,T20I,3,72,115,4,26,3,0,12.0,9.58,28.75,36.11,18.0
SM Ervine,Test,1,186,154,4,121,0,0,31.0,4.97,38.5,65.05,46.5
